epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 0 0.0000000,,"[0.24893733859062195, 0.2779785245656967]",,"[0.051984939724206924, 0.5269468389451504]",,,,"[0.14977014809846878, 0.43665051087737083]","[0.18435212597250938, 0.49764715507626534]",,"[-0.1023331880569458, 0.8483571596443653]",,"[0.0711326152086258, 0.10147083923220634]","[-0.31667307391762733, -0.023355118930339813]",,,,"[0.3488253094255924, 0.02976226434111595]",
08 11 15 0 0 30.0000000,,"[0.17458263412117958, 0.45851753652095795]",,"[0.0034802518784999847, 0.07248243317008018]",,,,"[0.21242765337228775, 0.4792921617627144]","[0.03611590340733528, 0.42208270728588104]",,"[-0.8811513260006905, 0.49154189601540565]",,"[0.10332421213388443, 0.5841001830995083]","[-0.016013529151678085, 0.4262058101594448]",,,,"[0.33721866831183434, 0.7790969796478748]",
08 11 15 0 1 0.0000000,,"[-0.07676972448825836, 0.39502784609794617]",,"[0.08621126413345337, -0.14063211530447006]",,,,"[-0.3956850916147232, -0.6692604720592499]","[-0.03459923714399338, 0.6144751086831093]",,"[0.22637296840548515, 0.26329388096928596]",,"[0.2825740613043308, 1.0001159347593784]","[0.47591933608055115, 0.36606603115797043]","[-0.1373523324728012, 0.06772108376026154]",,,"[0.10872935131192207, 0.8708753995597363]",
08 11 15 0 1 30.0000000,,"[-0.08355609327554703, 0.5664996318519115]",,"[0.20589559897780418, 0.038953907787799835]",,,,"[0.4937668815255165, 0.7155825607478619]","[-0.08252419531345367, 0.35318733379244804]",,"[0.5669386275112629, 0.7277379967272282]",,"[0.335430558770895, 0.6368601657450199]","[0.266951747238636, -0.08013021573424339]","[0.5033307410776615, 0.5401024967432022]",,,"[0.2651532329618931, 0.5497388690710068]",
08 11 15 0 2 0.0000000,,"[0.09185239672660828, 0.8454653583467007]",,"[0.31094595789909363, 0.10443876683712006]",,,,"[0.47302567958831787, 0.18474747240543365]","[0.31783295050263405, -0.06310916319489479]",,"[0.36082468554377556, 0.7225625365972519]",,"[-0.73768150806427, 0.07758814096450806]","[0.14805341884493828, -0.2815353274345398]","[0.0016793198883533478, 0.45501022413372993]",,,"[0.26744601503014565, 0.5668255053460598]",
08 11 15 0 2 30.0000000,,"[-0.003831520676612854, 0.3642815873026848]",,"[0.12695319950580597, 0.29771117120981216]",,,,"[-0.09973221644759178, 0.09247865155339241]","[-0.06848172843456268, -0.5296182669699192]",,"[0.8565251938998699, 0.7368834167718887]",,"[0.18954405188560486, 0.32731790468096733]","[0.7145250290632248, 0.09805016219615936]","[0.14807480201125145, 0.5824843384325504]",,,"[0.10734022036194801, 0.25519580766558647]",
08 11 15 0 3 0.0000000,,"[0.2803931459784508, 0.22780025005340576]",,"[0.07250510528683662, 0.7745541967451572]",,,,"[0.43104273453354836, 0.4961416460573673]","[-0.01471792533993721, -0.14048906788229942]",,"[0.030823364853858948, 0.5411355681717396]",,"[-0.031010400503873825, 0.22480187937617302]","[0.13105716183781624, -0.12394226714968681]","[-0.27090679109096527, 0.8726390600204468]",,,"[-0.09604760259389877, 0.5458622612059116]",
08 11 15 0 3 30.0000000,,"[0.02053319662809372, 0.2133386693894863]",,"[-0.13638878986239433, 0.4626304991543293]",,,,"[0.17255841940641403, 0.3752003200352192]","[-0.1583539992570877, -0.07571948319673538]",,"[-0.0014170072972774506, 0.9826854392886162]",,"[-0.09481890872120857, -0.38622110709547997]","[0.06772100925445557, -0.2627468556165695]","[0.2435290776193142, 0.993711743503809]",,,"[0.22719773277640343, -0.5803011618554592]",
08 11 15 0 4 0.0000000,,"[-0.08879769966006279, 0.40259672328829765]",,"[-0.11743898317217827, 0.6895349510014057]",,,,"[0.22935211658477783, 1.1743168607354164]","[0.2233024649322033, 0.15184058248996735]",,"[0.5791101418435574, 1.1822109706699848]",,"[0.38005542010068893, -0.15572330728173256]","[-0.017953526228666306, -0.5180801190435886]","[0.3340611830353737, 0.8684534728527069]",,,"[-0.24929746612906456, -1.1481696516275406]",
08 11 15 0 4 30.0000000,,"[0.3393102213740349, -0.09508699923753738]",,"[0.059462811797857285, 0.09234793856739998]",,,,"[-0.2045401893556118, -0.4370685927569866]","[0.12111703678965569, -0.18403654545545578]",,"[0.9829928167164326, 1.0791367925703526]",,"[-0.14488939940929413, -0.3275054842233658]","[-0.47512008622288704, -0.35320574417710304]","[0.05874478071928024, 0.6025728322565556]",,,"[-0.15319224447011948, 0.03449574485421181]",
