epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G29,G31,G32
08 11 14 23 59 59.9990000,,,,,,,,,,,,,,,,,,,,
08 11 15 0 0 29.9990000,,"[0.005522568451851839, 0.011045136903703678]",,"[-0.003391051397557021, -0.006782102795114042]",,,,"[0.0036736388155986788, 0.0073472776311973576]","[-0.0036332691681764118, -0.0072665383363528235]",,"[0.00211536993538175, 0.0042307398707635]",,"[0.01819056760859894, 0.03638113521719788]","[0.0033668294573772073, 0.006733658914754415]",,,,,"[-0.009543387020130467, -0.019086774040260934]",
08 11 15 0 0 59.9990000,,"[0.018295527963346103, 0.025545919022988528]",,"[0.002010408245951112, 0.010802919287016266]",,,,"[-0.0033103112036769744, -0.013967900038551306]","[-0.010003601111293392, -0.01274066388623396]",,"[0.024464012485623243, 0.044697285100482986]",,"[0.02422986850160669, 0.012078601786015497]","[-0.00681439821960339, -0.020362455353961195]",,,,,"[-0.03146411110628833, -0.04384144817231572]",
08 11 15 0 1 29.9990000,,"[0.01812597527532489, -0.00033910537604242563]",,"[0.007476459926692769, 0.010932103361483314]",,,,"[-0.004699027247625054, -0.002777432087896159]","[-0.019514692402935907, -0.01902218258328503]",,"[0.04431780977438393, 0.03970759457752138]",,"[0.015001364622094115, -0.018457007759025146]","[-0.013984049676992072, -0.014339302914777363]","[-0.003520234145980794, -0.007040468291961588]",,,,"[-0.03688171920384775, -0.010835216195118846]",
08 11 15 0 1 59.9990000,,"[0.024423642240435584, 0.012595333930221386]",,"[0.0076863836011398234, 0.000419847348894109]",,,,"[-0.00868755038936797, -0.007977046283485834]","[-0.02435097736406533, -0.009672569922258845]",,"[0.057276470131455426, 0.02591732071414299]",,"[0.036696018654765794, 0.04338930806534336]","[-0.017334730680772736, -0.006701362007561329]","[-0.0027855063790411805, 0.001469455533879227]",,,,"[-0.053489796140638646, -0.03321615387358179]",
08 11 15 0 2 29.9990000,,"[0.029453700783051318, 0.010060117085231468]",,"[0.013491538879861764, 0.011610310557443881]",,,,"[-0.01620438070858654, -0.015033660638437142]","[-0.03265905286434645, -0.01661615100056224]",,"[0.07259271789416744, 0.03063249552542402]",,"[0.06109543954835317, 0.04879884178717475]","[-0.032965862473361085, -0.0312622635851767]","[0.014428115529426577, 0.034427243816935515]",,,,"[-0.05983590639198155, -0.012692220502685814]",
08 11 15 0 2 59.9990000,,"[0.042097478592040716, 0.025287555617978796]",,"[0.017940276207809802, 0.008897474655896076]",,,,"[-0.010383075494246441, 0.0116426104286802]","[-0.03371673788819862, -0.0021153700477043458]",,"[0.0631381442572092, -0.01890914727391646]",,"[0.07977044298604596, 0.03735000687538559]","[-0.030422573925648067, 0.005086577095426037]","[0.01979728000696923, 0.010738328955085308]",,,,"[-0.06395361153272461, -0.00823541028148611]",
08 11 15 0 3 29.9990000,,"[0.03746304101150599, -0.009268875161069445]",,"[0.015259730101206515, -0.005361092213206575]",,,,"[-0.013693387290913961, -0.00662062359333504]","[-0.0399901826540372, -0.012546889531677152]",,"[0.0710586711020369, 0.015841053689655382]",,"[0.09146149610842258, 0.02338210624475323]","[-0.04210555267309246, -0.02336595749488879]","[0.0006782102068427776, -0.03823813960025291]",,,,"[-0.07754203817148664, -0.02717685327752406]",
08 11 15 0 3 59.9990000,,"[0.037099713990755845, -0.0007266540415002964]",,"[0.0239149847675435, 0.017310509332673973]",,,,"[-0.008300001132738544, 0.010786772316350834]","[-0.04167763433656546, -0.0033749033650565252]",,"[0.07084874861266144, -0.0004198449787509162]",,"[0.10325750988295113, 0.023592027549057093]","[-0.045625786661616985, -0.0070404679770490475]","[0.00492509819832776, 0.008493775982969964]",,,,"[-0.09224466751356886, -0.029405258684164437]",
08 11 15 0 4 29.9990000,,"[0.041984443269029725, 0.009769458556547761]",,"[0.021864206720238144, -0.004101556094610714]",,,,"[-0.00775097326732066, 0.0010980557308357675]","[-0.05175390083149978, -0.020152532989868632]",,"[0.09995527172077345, 0.05821304621622403]",,"[0.10833601260355863, 0.010157005441215006]","[-0.05456362904362777, -0.01787568476402157]","[0.002914689211138466, -0.004020817974378588]",,,,"[-0.11554603356489679, -0.046602732102655864]",
