epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G29,G31,G32
08 11 14 23 59 59.9990000,,"[0.042724452912807465, 0.0730384960770607]",,"[0.21946116909384727, 0.2247842475771904]",,,,"[0.3956432528793812, -0.561651200056076]","[0.01563863828778267, 0.2674662880599499]",,"[0.3985869064927101, 0.17609906941652298]",,"[0.936598151922226, 0.695034135133028]","[0.012400809675455093, 0.17490719258785248]",,,,,"[0.023159902542829514, 0.13918185234069824]",
08 11 15 0 0 29.9990000,,"[0.15945736318826675, 0.8169407621026039]",,"[-0.017043881118297577, 0.23294714465737343]",,,,"[-0.20756051316857338, -0.9144119061529636]","[-0.00628267228603363, 0.16611777245998383]",,"[0.925294566899538, 0.4966376759111881]",,"[-0.232625599950552, 0.500955905765295]","[0.13271887972950935, 0.43354780599474907]",,,,,"[0.0993087887763977, -0.24541804194450378]",
08 11 15 0 0 59.9990000,,"[-0.0731518305838108, 0.5073489733040333]",,"[-0.03276453912258148, 0.24734825640916824]",,,,"[0.13304122164845467, -0.22455356642603874]","[-0.1743316613137722, 0.08156642317771912]",,"[-0.022780485451221466, 0.3583415076136589]",,"[-0.5617335326969624, 0.39322030171751976]","[0.26618242636322975, -0.20698798820376396]","[0.19527312368154526, -0.5235306099057198]",,,,"[-0.028054118156433105, 0.7796082608401775]",
08 11 15 0 1 29.9990000,,"[0.41906797885894775, 0.08150217682123184]",,"[0.10749641060829163, 0.04475635662674904]",,,,"[-0.29131459072232246, -0.09445489197969437]","[-0.200465627014637, 0.07469635456800461]",,"[0.6222626566886902, 0.7141835130751133]",,"[1.051269356161356, 0.02559809386730194]","[0.0067545585334300995, 0.4957677982747555]","[0.3866441883146763, -0.06354234740138054]",,,,"[0.04193500429391861, 0.24446926638484]",
08 11 15 0 1 59.9990000,,"[0.1342678889632225, -0.13082410395145416]",,"[0.1071518287062645, 0.5174942277371883]",,,,"[-0.35931212082505226, 0.08898083120584488]","[-0.43679335340857506, -0.0775311328470707]",,"[0.25296487659215927, -0.11902390792965889]",,"[-0.6997098214924335, 0.4941409006714821]","[-0.2813282422721386, 0.19036879763007164]","[0.6961300410330296, 0.25323212146759033]",,,,"[-0.02967286854982376, 0.3423374891281128]",
08 11 15 0 2 29.9990000,,"[-0.1007414273917675, 0.14414247125387192]",,"[-0.2883290611207485, 0.1282937005162239]",,,,"[-0.6429889053106308, 0.24035132303833961]","[0.13345030322670937, 0.03644898533821106]",,"[0.2250981517136097, 0.031125817447900772]",,"[0.06611556187272072, 0.09455074369907379]","[0.16469673439860344, 0.16225363314151764]","[0.3023955151438713, 1.55825936794281]",,,,"[-0.2575477287173271, 0.09296978265047073]",
08 11 15 0 2 59.9990000,,"[0.29335495084524155, 0.606205515563488]",,"[0.12992823123931885, 0.6962985172867775]",,,,"[0.14354683831334114, -0.23182624205946922]","[-0.1124807558953762, 0.6651024557650089]",,"[-0.008696801960468292, 0.09861696511507034]",,"[0.19520122185349464, 0.9419722259044647]","[0.4006989076733589, 0.14925485104322433]","[0.31916915625333786, -0.19685791060328484]",,,,"[-0.2063499502837658, 0.255550067871809]",
08 11 15 0 3 29.9990000,,"[0.5677071064710617, 0.06573718786239624]",,"[0.15958253294229507, 0.02989986166357994]",,,,"[-0.24949327111244202, -0.6961666904389858]","[0.24886618927121162, 0.5899850949645042]",,"[0.5910431519150734, 0.3894682191312313]",,"[0.45027701556682587, 0.5366404391825199]","[-0.520776703953743, -0.1058100126683712]","[-0.19461073726415634, -0.9061480537056923]",,,,"[0.12286914139986038, 0.3804314211010933]",
08 11 15 0 3 59.9990000,,"[0.05588272586464882, 0.2617700919508934]",,"[-0.020006291568279266, 0.23671094700694084]",,,,"[0.4672892391681671, -0.5442655757069588]","[-0.1444014273583889, 0.3680546283721924]",,"[0.2382366545498371, 0.2355792596936226]",,"[0.21792882308363914, -0.4400740973651409]","[0.19115089252591133, 0.40673478320240974]","[0.4045864976942539, 0.35571741685271263]",,,,"[-0.3502698093652725, 0.06151705980300903]",
08 11 15 0 4 29.9990000,,"[0.1399826742708683, 0.3197888433933258]",,"[0.3396732024848461, -0.07141513004899025]",,,,"[0.03874989598989487, 0.28141074627637863]","[0.033791493624448776, -0.23471056297421455]",,"[0.14648079872131348, 0.2092568837106228]",,"[0.44738125801086426, -0.025626756250858307]","[0.1047627441585064, -0.10516428202390671]","[0.2885446511209011, -0.18311414867639542]",,,,"[-0.0752045325934887, -0.05157078802585602]",
08 11 15 0 4 59.9990000,,"[0.3448515236377716, 0.4995666705071926]",,"[0.07102001085877419, 0.5738197080790997]",,,,"[0.576649185270071, -0.15308036655187607]","[0.0407564677298069, 0.3241770416498184]",,"[-0.6678420007228851, -0.17684360593557358]",,"[-0.06534556299448013, -0.12585792317986488]","[0.19208291545510292, 0.3356335386633873]","[0.8824753724038601, 0.14126088470220566]",,,,"[0.22035707533359528, -0.2501027099788189]",
08 11 15 0 5 29.9990000,,"[0.21722282096743584, 0.07153739035129547]",,"[0.47549108415842056, 0.10890259966254234]",,,,"[0.10516393929719925, -0.14800424501299858]","[0.14764519780874252, 0.25511496141552925]",,"[-0.13969574868679047, 0.09409265592694283]",,"[-0.20453598722815514, 0.2569008432328701]","[0.10456661880016327, 0.4601765386760235]","[0.9385177344083786, 1.1026771292090416]",,,,"[0.3513600416481495, 0.028670355677604675]",
08 11 15 0 5 59.9990000,,"[0.35843951627612114, -0.3086150698363781]",,"[-0.10535700246691704, -0.19382909685373306]",,,,"[0.5165105760097504, 0.09854728728532791]","[0.06666679307818413, 0.472592007368803]",,"[0.12815279141068459, -0.32867570221424103]",,"[-0.07540230453014374, -0.8223657533526421]","[0.3140617236495018, 0.13896948099136353]","[-0.10333618149161339, 0.4057314656674862]",,,,"[0.2814753092825413, -0.19111348688602448]",
08 11 15 0 6 29.9990000,,"[0.31978947669267654, 0.3739619851112366]",,"[0.20004893839359283, 0.3912774659693241]",,,,"[0.22137951105833054, 0.5408983044326305]","[0.00039064884185791016, -0.05749635398387909]",,"[0.4244205057621002, 0.3647156320512295]",,"[-0.45076362043619156, -0.0900861844420433]","[-0.47994477674365044, -0.04621683806180954]","[-0.05108567699790001, 0.5239504240453243]",,,,"[0.07416794449090958, 0.09000132977962494]",
08 11 15 0 6 59.9990000,,"[0.29454879835247993, 0.15727567672729492]",,"[-0.04281393438577652, 0.1204536035656929]",,,,"[-0.565484780818224, 0.2785319499671459]","[0.036390308290719986, 0.3661309778690338]",,"[0.8400503247976303, 0.098980363458395]",,"[-0.07692037895321846, 0.41252804547548294]","[-0.24336505308747292, 0.4353898726403713]","[-0.22763146832585335, -0.04670068994164467]",,,,"[-0.45263614878058434, -0.11296354979276657]",
08 11 15 0 7 29.9990000,,"[-0.009334661066532135, -0.12209716439247131]",,"[0.2937312610447407, 0.17120178416371346]",,,,"[0.022731859236955643, 0.1999703012406826]","[-0.13830623403191566, 0.2245124690234661]",,"[0.08624333888292313, 0.6897676438093185]",,"[0.28814153745770454, -0.08653092384338379]","[-0.20802809298038483, -0.0497831292450428]","[1.0190768279135227, -0.3469831794500351]",,,,"[-0.26232239603996277, -0.9294242598116398]",
08 11 15 0 7 59.9990000,,"[0.13007184118032455, -0.023235872387886047]",,"[0.06243423372507095, 0.06397231668233871]",,,,"[-0.29430149495601654, -0.03644334152340889]","[-0.1980958878993988, 0.37153635546565056]",,"[0.5626817084848881, 0.7013502158224583]",,"[0.914244968444109, -0.21907581761479378]","[-0.10648378729820251, -0.38537202402949333]","[0.31278273463249207, -0.021822113543748856]",,,,"[0.018338706344366074, 0.11692071333527565]",
08 11 15 0 8 29.9990000,,"[0.4358689486980438, 0.053744226694107056]",,"[0.09162799641489983, 0.18416829779744148]",,,,"[0.15764158591628075, -0.6423077620565891]","[0.12881845235824585, 0.2523761950433254]",,"[-0.06475763022899628, 0.5516761168837547]",,"[0.39831172674894333, -0.5509018823504448]","[0.5793163701891899, 0.31582457572221756]","[0.31829994171857834, -0.18320570141077042]",,,,"[-0.09085800126194954, 0.10892543196678162]",
08 11 15 0 8 59.9990000,,"[0.42170602455735207, 0.4103300869464874]",,"[0.07600235193967819, 0.019226450473070145]",,,,"[0.20447399094700813, 0.00435846671462059]","[-0.09919270873069763, -0.11381478607654572]",,"[0.2859818786382675, 0.1051538698375225]",,"[-0.001247260719537735, -0.14097945392131805]","[-0.08784902095794678, -0.45144009217619896]","[0.7255518138408661, 0.29386089742183685]",,,,"[-0.05033595860004425, 0.39249128848314285]",
08 11 15 0 9 29.9990000,,"[0.1957211084663868, 0.5338063016533852]",,"[0.06246575713157654, -0.0627824105322361]",,,,"[0.25260062515735626, 0.5125843770802021]","[0.2142670452594757, -0.001578301191329956]",,"[-0.15834657102823257, 0.2469763308763504]",,"[-0.36544693261384964, -0.3733399212360382]","[0.04110903665423393, 0.2423771657049656]","[0.1962517499923706, -0.08640848100185394]",,,,"[0.026855386793613434, 0.558368057012558]",
08 11 15 0 9 59.9990000,,"[0.5993940606713295, 0.19580843672156334]",,"[-0.03964879736304283, 0.326119851320982]",,,,"[0.0005553402006626129, -0.010573823004961014]","[0.051141850650310516, 0.46607862785458565]",,"[-0.4941704273223877, -0.3948514200747013]",,"[-0.03229336068034172, -0.056130580604076385]","[-0.2534429803490639, -0.05576668307185173]","[0.6151108853518963, -0.16164802759885788]",,,,"[0.03963307663798332, 0.6560449153184891]",
08 11 15 0 10 29.9990000,,"[0.21583634614944458, 0.03584697097539902]",,"[0.17100782319903374, 0.1783054657280445]",,,,"[-0.299577459692955, -0.021392639726400375]","[-0.07349022850394249, -0.04314461722970009]",,"[-0.38653478026390076, 0.1210353672504425]",,"[-0.26711735501885414, 0.4708322696387768]","[-0.1742345578968525, -0.10024140030145645]","[0.52620555087924, 0.23339272290468216]",,,,"[-0.06572607532143593, 0.6824019402265549]",
08 11 15 0 10 59.9990000,,"[0.26801394671201706, 0.2726455330848694]",,"[-0.06576721742749214, -0.15912387892603874]",,,,"[0.383559487760067, -0.2703200839459896]","[0.3130510300397873, 0.5806481540203094]",,"[-1.0661328174173832, -0.19032744318246841]",,"[-0.058079637587070465, -0.9502327591180801]","[-0.15752054750919342, 0.4031754434108734]","[0.2196948267519474, -0.3205934390425682]",,,,"[-0.011648591607809067, -0.010877341032028198]",
08 11 15 0 11 29.9990000,,"[0.24609318748116493, 0.5897504463791847]",,"[0.08656288683414459, -0.022390983998775482]",,,,"[-0.03569810092449188, -0.006314434111118317]","[-0.3017933964729309, 0.30506792291998863]",,"[-0.1293431594967842, 0.31191250681877136]",,"[-0.1737077422440052, 0.19044390693306923]","[-0.3929519057273865, 0.4175604283809662]","[0.3928132988512516, -0.5974207520484924]",,,,"[0.25574152171611786, 0.7188461534678936]",
