epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 0 0.0000000,,,,,,,,,,,,,,,,,,,
08 11 15 0 0 30.0000000,,"[0.007201946957138716, 0.014403893914277432]",,"[0.014000197204611986, 0.028000394409223972]",,,,"[-0.00961605246891395, -0.0192321049378279]","[-0.008267705856269458, -0.016535411712538917]",,"[0.014016344954370652, 0.028032689908741304]",,,"[-0.013354282682485064, -0.026708565364970127]",,,,"[-0.005288425209073466, -0.010576850418146932]",
08 11 15 0 1 0.0000000,,"[0.01219163651649069, 0.009979379118703946]",,"[0.009438425924095384, -0.009123542561033204]",,,,"[-0.020523933815638884, -0.02181576269344987]","[-0.017819166807385045, -0.019102921902231174]",,"[0.005441829740448156, -0.01714903042784499]",,,"[-0.010205449413206225, 0.006297666538557678]",,,,"[-0.026272573062669835, -0.04196829570719274]",
08 11 15 0 1 30.0000000,,"[0.014880255738717096, 0.005377238444452814]",,"[0.012643776697664144, 0.006410701547137521]",,,,"[-0.012393484778499442, 0.016260898074278884]","[-0.019022182597836945, -0.0024060315809038]",,"[0.03803629126332453, 0.06518892304575274]",,,"[-0.011481130587526422, -0.002551362348640396]","[0.005579086660731036, 0.011158173321462073]",,,"[-0.044915281074281665, -0.03728541602322366]",
08 11 15 0 2 0.0000000,,"[0.025061483267563744, 0.020362455057693296]",,"[0.008986285742763833, -0.007314981909800622]",,,,"[-0.021678506023363298, -0.01857004248972771]","[-0.024375199176574824, -0.010706033157475758]",,"[0.053804679281483914, 0.03153677603631877]",,"[0.061071217776770936, 0.12214243555354189]","[-0.01746391381857393, -0.011965566462095012]","[0.00047636196352840443, -0.010205449394405264]",,,"[-0.05666285141342087, -0.023495140678278403]",
08 11 15 0 2 30.0000000,,"[0.029413332392778102, 0.008703698250428715]",,"[0.01743969199933293, 0.016906812513138192]",,,,"[-0.0012595333040508194, 0.040837945438624956]","[-0.029768585409328807, -0.010786772465507966]",,"[0.05238366736784883, -0.002842023827270168]",,"[0.06706207494062255, 0.01198171432770323]","[-0.025004965828429704, -0.01508210401971155]","[0.03671216648766773, 0.07247160904827865]",,,"[-0.06210468085737375, -0.010883658887905767]",
08 11 15 0 3 0.0000000,,"[0.029485997767096706, 0.00014533074863720685]",,"[0.025973837597811134, 0.01706829119695641]",,,,"[0.0021234440142734456, 0.00676595463664853]","[-0.03338570663618157, -0.0072342424537055194]",,"[0.051132207994214696, -0.002502918747268268]",,"[0.05850370756161283, -0.017116734758019447]","[-0.019660023170217755, 0.010689885316423897]","[0.033789403299643084, -0.005845526376049293]",,,"[-0.06986372909341299, -0.015518096472078469]",
08 11 15 0 3 30.0000000,,"[0.04301790696626995, 0.027063818398346484]",,"[0.02822646449989019, 0.004505253804158116]",,,,"[-0.012700294285195923, -0.029647476598938734]","[-0.03782636907089909, -0.008881324869435048]",,"[0.06903211395706421, 0.03579981192569903]",,"[0.1035481713261106, 0.09008892752899555]","[-0.020273641970561584, -0.0012272376006876584]","[0.060021606673025474, 0.05246440674676478]",,,"[-0.07675079283580999, -0.013774127484794008]",
08 11 15 0 4 0.0000000,,"[0.03614699130730514, -0.01374183131792961]",,"[0.01945010091272792, -0.017552727174324545]",,,,"[-0.012829477098875941, -0.00025836562736003543]","[-0.05266625508375, -0.029679772025701826]",,"[0.08337949035785641, 0.0286947528015844]",,"[0.0698152855693479, -0.0674657715135254]","[-0.038351174580384395, -0.03615506521964562]","[0.0817081866268552, 0.04337315990765944]",,,"[-0.10255507778128958, -0.05160856989095919]",
08 11 15 0 4 30.0000000,,"[0.03872257557713965, 0.0051511685396690154]",,"[0.0308101225519124, 0.022720043278368962]",,,,"[0.0005248054816320291, 0.02670856516101594]","[-0.05653366830483719, -0.007734826442174381]",,"[0.09280176842094079, 0.018844556126168754]",,"[0.09318931723100832, 0.04674806332332082]","[-0.035501076757554983, 0.005700195645658823]","[0.09225274113872928, 0.021089109023748165]",,,"[-0.11685401045178878, -0.028597865340998396]",
08 11 15 0 5 0.0000000,,"[0.036033956280789425, -0.005377238592700451]",,"[0.029340667018153965, -0.0029389110675168695]",,,,"[-0.017084439057953205, -0.03521848907917047]","[-0.06425234681410075, -0.01543735701852711]",,"[0.0993416528558555, 0.013079768869829422]",,"[0.13300187338609248, 0.07962511231016833]","[-0.042533471081696916, -0.014064788648283866]","[0.10298299616292894, 0.02146051004839933]",,,"[-0.13791889775711752, -0.04212977461065748]",
08 11 15 0 5 30.0000000,,"[0.040595727450181585, 0.009123542338784318]",,"[0.028702826398589565, -0.0012756812391288008]",,,,"[-0.008380740882216742, 0.017407396351472926]","[-0.06480944801660371, -0.0011142024050059263]",,"[0.1205680189202667, 0.04245273212882239]",,"[0.14636422999683418, 0.026724713221483398]","[-0.04628784922078921, -0.007508756278184592]","[0.10557472814543445, 0.005183463965011015]",,,"[-0.1467275569557387, -0.017617318397242343]",
08 11 15 0 6 0.0000000,,"[0.03973989081850959, -0.0017116732633439824]",,"[0.026345238437232688, -0.004715175922713755]",,,,"[-0.0006782103090472447, 0.015405061146338994]","[-0.07319826282946451, -0.016777629625721602]",,"[0.14303777013128638, 0.04493950242203937]",,"[0.18639478232216788, 0.0800611046506674]","[-0.05993279344693292, -0.027289888452287414]","[0.10951480674145131, 0.007880157192033721]",,,"[-0.1690761995050707, -0.044697285098664]",
