epoch,G03,G06,G07,G11,G13,G16,G19,G21,G23,G25,G27,G31
08 11 15 0 20 0.0000000,"[-0.5520920747270184, -0.6241820003837351]","[-0.2681298121499518, 0.1939048729216059]",,,"[-0.4801419177403057, -0.7228298197189975]","[-0.800496821446965, 0.49475602755943937]","[-0.0008119856628279187, -0.33371105728050077]","[-0.5257710859179496, 1.4414489360526206]","[1.0342418021832902, 1.8432812045638762]","[0.6642398195962111, -0.7865579070523381]",,"[-2.8502022087574006, 0.09544723952809969]"
08 11 15 0 20 30.0000000,"[-0.6790298217286663, -0.8851714279502634]","[-0.058442907004306655, -0.6223279722655812]",,,"[-0.2794244238485897, -0.49723437527815584]","[-0.9565544027524688, -0.44348484327395754]","[0.8835359448877473, -0.12402561244865262]","[-1.0985238298773765, 2.343072050996125]","[1.7712520427380998, 1.6919616262738906]","[0.19353650088111563, -0.35704650897532697]",,"[-2.6598610043525697, -0.6414325413604577]"
08 11 15 0 21 0.0000000,"[-0.920193112765749, -0.5900080647319559]","[-0.1749754041122893, -0.5231893547500173]",,,"[-0.11758112398286702, -0.2941126535336185]","[-0.5028296012120941, -0.4076439594229062]","[-1.5754934167178969, -0.31210829255481565]","[-1.187815536558628, 1.1828865500167014]","[0.698565802661081, 1.6054790119950972]","[0.721944014976422, -1.0748800279572606]",,"[-2.2125160306692124, -0.7446241406102975]"
08 11 15 0 21 30.0000000,"[-0.8532303118457394, -1.2184490110725168]","[-0.14201625582451616, -0.5710560568297902]",,,"[0.22633293780187724, -0.5153403590122867]","[-0.6393077794152, -0.3033063714702924]","[-1.255601949027429, -0.2384915047635635]","[-0.28593542128801347, 1.7396963031962516]","[1.92404837825646, 2.341408471328517]","[-0.2352295858164628, -0.8222861381247639]",,"[-2.673488622903824, -0.3622738448282083]"
08 11 15 0 22 0.0000000,"[-0.31442969975372126, -0.5030860599130396]","[-0.5091079264568785, -0.24883501610408226]",,,"[0.06927647205690501, -0.32519508997599367]","[-0.3276528168159225, -0.3191747223337491]","[-1.7589856004031996, -0.4497812533130249]","[-0.8606573536992073, 0.9802148135378959]","[1.622090510216852, 1.874353925449153]","[0.059897388766209314, -0.24376367945224042]",,"[-1.7771070957183839, -0.27690685068567594]"
08 11 15 0 22 30.0000000,"[-0.6747990095367031, -0.7014351036399606]","[-0.30540235486502443, -0.1399838366235296]",,,"[0.281746616090337, -0.508520052830379]","[-0.4060255784230926, -0.28572730769713717]","[0.05353949315225082, -0.30595265266795957]","[-0.6837539568543434, 2.059925118274987]","[1.555616936770578, 2.1167024324958525]","[0.3158917384843032, 0.12140793185681109]",,"[-2.3868909984827043, -0.07055621122320493]"
08 11 15 0 23 0.0000000,"[-0.025934405003984473, -0.8411581959575418]","[-0.30393190082783494, -0.42460564157615105]",,,"[-0.06753542510171773, -0.5739926705757785]","[0.029718260125567664, -0.09671101023753481]","[-0.2552739446672301, -0.3550328457107147]","[-0.1677826687693596, 2.282046431489289]","[1.5924064508949716, 2.6058141987149916]","[0.3956372993687789, -0.7303714396432042]",,"[-2.818628853559494, 0.10668916727105776]"
08 11 15 0 23 30.0000000,"[-0.43676503685613444, -0.739608242735267]","[-0.6106332629608611, -0.0639289357389013]",,,"[-0.06461071458955647, 0.013998939593632187]","[-0.27759948854024197, 0.00032933006683988353]","[0.2004860425678392, -0.28956405756374204]","[-0.4763625904917717, 2.0953329892829062]","[1.693238369313379, 3.3768636982267104]","[-0.5136532080670198, -0.7060596438124775]",,"[-2.675883597135544, -0.28201268886526426]"
08 11 15 0 24 0.0000000,"[-0.2268451073517399, -1.0183962132781748]","[-0.16714937385792528, -0.09329946717868248]",,,"[0.033109237874547226, -0.0018722871939349517]","[-0.2483553636508682, -0.1410925542314847]","[0.2754049981323381, -0.07643960354228818]","[-0.5900163695216178, 1.7711153419688346]","[1.6197536654149491, 2.7357389877860747]","[-0.7651317459841569, -0.1567392440512776]",,"[-2.79403412938118, -0.5627632317443688]"
08 11 15 0 24 30.0000000,"[-0.2782744386543827, -0.5547101195901636]","[-0.2945628031777838, -0.17996246001372734]",,,"[0.17454892906049846, -0.2634231011072803]","[-0.20656088475758816, 0.16976283440987272]","[-0.003533220818887184, 0.397556514168779]","[-0.2028650686144829, 2.266649747081101]","[1.5884037307774026, 2.365617136222621]","[-1.880530778815349, -1.176607677526772]",,"[-2.779305300116539, -0.38973176752527555]"
08 11 15 0 25 0.0000000,"[-0.5200908699383335, -0.9517241414636377]","[-0.38856192824120317, -0.6288518496478597]",,,"[-0.5647736736883724, -0.7592426697413135]","[-0.13403056298072125, -0.1307810400923093]","[0.0020596916166444323, 0.5969162887583176]","[-0.37605216056108476, 2.0293158086016776]","[1.3424536726747949, 2.781159992081424]","[-3.3820039076109727, -1.021847436018288]",,"[-2.711881583929062, -0.6269378987451394]"
08 11 15 0 25 30.0000000,"[-0.6286417463173466, -0.3471059795469049]","[-0.5534623354362944, -0.5173275657619039]",,,"[-0.21959213403364064, -0.5192958424488712]","[-0.7176384899454811, -0.5535177593429883]","[0.029155590602507164, 0.9922503537187973]","[0.308990116417408, 1.686330476589501]","[1.4221592686449487, 2.620946178895732]","[-3.7556455177565415, 0.3073156533762813]",,"[-2.057111865282059, -1.5963346389432749]"
08 11 15 0 26 0.0000000,"[-0.35218993512292673, -0.9915621723979715]","[-0.6012016102361182, -0.6928565540040532]",,,"[-0.13085698572297932, -0.27055971423784975]","[-0.5672726381259658, -0.014717698593934347]","[-0.6182848279985289, -0.24650978979965055]","[0.297929610311985, 2.292441243119538]","[1.1455031476294, 1.4982958237951003]","[-1.7965480578442414, 0.08374605160206561]",,"[-1.9414463996887208, -2.2903158095975718]"
08 11 15 0 26 30.0000000,"[-0.2260802158464985, -1.0751575227826837]","[-0.5067047118830184, -0.8644475080693761]",,,"[0.19383118065694926, -0.1922791163126636]","[-0.32541205470139767, -0.7320949887235959]","[-0.9168097739728789, -0.09327548680206144]","[-0.32482241541147233, 3.013639429397881]","[1.1682814649616677, 1.3562172304218016]","[-2.2759623867770036, 0.34498513322323565]",,"[-2.2163151413202287, -1.6802796748777231]"
08 11 15 0 27 0.0000000,"[-0.4261287221064167, -0.6613477762788538]","[-0.06837695237870012, -0.5533132143939534]",,,"[-0.6733064749588573, -0.7924060235420871]","[-1.267991957409928, -0.699291140337785]","[-0.4211321388992171, 0.36181724133590853]","[-0.3831434592604637, 2.3878194781020285]","[1.870283222881456, 0.010889778596659738]","[-1.0684014302988847, 1.3029457090422512]",,"[-2.9800753355026246, -0.47681393002470335]"
08 11 15 0 27 30.0000000,"[-0.2663726502408581, -0.6054987754672769]","[-0.185751201181362, -0.3880246021474401]",,,"[-0.6132591166843975, -0.49982643226782564]","[-0.9462842616873481, -0.35543656398852663]","[0.18946083731328445, 0.5649309462557236]","[-0.12271438986063005, 3.1349089087918403]","[1.8511620155846078, -0.1862653393919267]","[-1.1801856351395448, -0.5676719637587666]",,"[-2.5237261414527894, 0.13584460044900576]"
08 11 15 0 28 0.0000000,"[0.024946377302209832, -0.3155695494264368]","[0.07643958780293669, -0.3301129080976049]",,,"[-1.3274652310957515, -0.6340835700432468]","[-0.43888758604104305, -0.17425268938144045]","[0.05411542303239303, 0.4706964797029892]","[0.015687818825244892, 2.8128924610093238]","[1.808109990445276, 0.6511755387609206]","[-0.028475154687960913, -0.16180480439215894]",,"[-2.1908737033605576, -0.3209714618821939]"
08 11 15 0 28 30.0000000,"[-0.18649172720809748, -0.21937967799603975]","[0.12863063666348662, 0.2112008593355616]",,,"[-0.2884587147583568, -0.7617865512768436]","[-0.16522953395421291, -0.6355800484617551]","[-0.13432384186113877, 0.26040177109340823]","[-0.0764168992638588, 2.4307145269587638]","[1.7024964384113748, 1.123698378664752]","[0.08640710587302847, 1.5776458142325283]",,"[-2.590802362561226, 0.010727939258019133]"
08 11 15 0 29 0.0000000,"[0.028391533220808007, 0.4122650478035208]","[0.08339772972588744, -0.07024231931815544]",,,"[-0.4316414543737972, -1.1642645160357166]","[0.028469185189654578, -1.0693046753605207]","[0.23876283414041, -0.25183442172904813]","[0.05213130563497542, 3.1249325813725592]","[1.953548154917856, 2.781992758375903]","[-0.9828826529284318, 0.8793408630415798]",,"[-1.9022147715091706, -0.5315394726892312]"
08 11 15 0 29 30.0000000,"[-0.21844839242597391, 0.653115556016564]","[-0.17046521004910264, -0.1597119905675451]",,,"[0.6211015931020176, -0.20932832459608797]","[-0.004890551014492761, -0.8988289689024289]","[0.13845435626183944, -0.3191398375978073]","[0.5388620004057885, 1.4147362204268576]","[1.7655087328826387, 2.2586987118547164]","[0.03376100535194082, 1.2324925718829036]",,"[-1.3339005768299104, 0.47819563473264376]"
08 11 15 0 30 0.0000000,"[-0.652193195496996, 0.8930741999298331]","[-0.34219725575918947, -0.08640279254565636]",,,"[0.7604187181840336, -0.5173892537752796]","[-0.18165864531571652, -0.2054761951168378]","[-0.46921173386896653, 0.17279475989441073]","[-0.27556501775979997, 1.8141423704102637]","[1.1498385585223634, 2.5665610532586776]","[-0.8859802377720674, 0.5605638233944774]",,"[-1.6240219235420228, -0.3262529549499353]"
08 11 15 0 30 30.0000000,"[-0.3158960857739048, 0.7255374792963263]","[-0.38639546331639085, -0.08417475602279106]",,,"[0.3657879731307423, -0.8122715214888263]","[-0.28594223891074444, -0.1462551360328992]","[-0.027593544653306434, 0.674802408243219]","[-0.1234214797616005, 3.0113078298047187]","[1.0114176414286096, 3.460710073572894]","[0.028952907274166773, 0.2088766155764461]",,"[-1.6648501068353654, -0.5918457833429177]"
08 11 15 0 31 0.0000000,"[-0.3144402497758465, 0.1821395013481375]","[-0.41553849872822557, 0.02438658097138008]",,,"[-0.018765697752436417, -0.5559501359860111]","[-0.006496896191189538, -0.12113262762626009]","[-0.9293096428426604, -0.6197891080131134]","[0.44051686972379683, 2.580110454745591]","[1.637996397105356, 2.9133297602956496]","[0.41709276611606283, 0.00896889548748736]",,"[-2.0418319016695023, -0.31356713448961576]"
08 11 15 0 31 30.0000000,"[0.3689577883730335, 0.2137598548084494]","[-0.4889746322917441, 0.17026981332649788]",,,"[0.5608717999110615, -1.04046142200629]","[-0.2521653745012977, -0.4818426524599393]","[-0.7979228859456877, -0.46555112240215146]","[0.39253811091184615, 1.1170216443017127]","[2.0358402795468766, 1.9741891871516906]","[0.5565576362113158, -0.18756278771907087]",,"[-2.558789259195328, -0.7018898156781991]"
08 11 15 0 32 0.0000000,"[-0.09822457966705134, -0.05946537815034425]","[-0.2497911393331984, 0.2016597650324305]",,,"[0.12666017326215862, -0.2919216612974811]","[-0.35798425708586956, -0.7425888781746228]","[-0.5970858698400359, 0.9816382235536972]","[0.9088229343295098, 1.6426543684676291]","[1.7029156080757577, 1.9090960572784148]","[0.6133877741793792, -0.5290770770981907]",,"[-2.9939934372901917, 0.05836020136872928]"
08 11 15 0 32 30.0000000,"[0.35952314051489065, -0.13638751171529329]","[-0.46417755779499803, 0.21867420890678962]",,,"[-0.2600275376190746, 0.24228593607743498]","[-0.6529413584309318, -0.06906862606604891]","[-0.3344209706100325, 0.8672672218332688]","[-0.05701211541891099, 2.0487600209191443]","[1.3658750049148995, 2.011534671050807]","[0.4011048185328643, -0.7135144563391804]",,"[-2.586591160297394, 0.6387276473144691]"
08 11 15 0 33 0.0000000,"[0.43675754281381796, -0.18624795936048066]","[-0.6277525365042189, 0.310076381949087]",,,"[-0.07205859807630421, 0.06109411915143248]","[-0.3521476212578514, -0.09419782509406405]","[0.2819095636097093, 0.39883045914272464]","[0.11100729852914809, 1.6872602494433524]","[1.6619214780007798, 0.5241805713002883]","[-0.09413466279705363, -1.1913137825205922]",,"[-2.309968000650406, 0.24388840521375338]"
