epoch,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G22,G23,G25,G27,G28,G31,G32
08 11 15 0 0 0.0000000,,,,,,,,,,,,,,,,,,,
08 11 15 0 0 30.0000000,"[-0.0007024306187304319, -0.0014048612374608638]",,"[0.00399659425693244, 0.00799318851386488]",,,,"[-0.0025109928101301193, -0.005021985620260239]","[-0.003399121918846504, -0.006798243837693008]",,"[-0.009075100237168954, -0.018150200474337908]",,"[0.0029389112896751612, 0.0058778225793503225]",,"[-0.006297666404861957, -0.012595332809723914]",,,,"[-0.02043512087675481, -0.04087024175350962]",
08 11 15 0 1 0.0000000,"[0.004561771465887432, 0.010528404169235728]",,"[0.004481027122892556, 0.0009688657319202321]",,,,"[0.0074118690099567175, 0.019845723640173674]","[-0.006249223086342681, -0.005700202334992355]",,"[0.0011868676338053774, 0.020523935741948662]",,"[0.0036736394085892243, 0.0014694562378281262]",,"[-0.014605741598643363, -0.01661615038756281]",,,,"[-0.025368292848725105, -0.009866343943940592]",
08 11 15 0 1 30.0000000,"[0.0065721814908101805, 0.004020820049845497]",,"[0.0070323933050531195, 0.0051027323643211275]",,,,"[6.459164433181286e-05, -0.01469455473124981]","[-0.013580349002950243, -0.014662251833215121]",,"[0.011303503866656683, 0.020233272465702612]",,"[0.032134248077454686, 0.05692121733773092]",,"[-0.01882033358560875, -0.008429183973930776]",,,,"[-0.0379232563846017, -0.02510992707175319]",
08 11 15 0 2 0.0000000,"[0.020031424056469405, 0.026918485131318448]",,"[0.012498443799813685, 0.010932100989521132]",,,,"[0.00823540985584259, 0.016341636423021555]","[-0.012127043293730821, 0.0029066114184388425]",,"[0.02915496639434423, 0.03570292505537509]",,"[0.039053607245477906, 0.01383871833604644]",,"[-0.02171080157859251, -0.005780935985967517]",,,,"[-0.04786226585110853, -0.019878018933013664]",
08 11 15 0 2 30.0000000,"[0.021888428957026917, 0.0037140098011150253]",,"[0.011900971462637244, -0.0011949446743528824]",,,,"[0.011650682892650366, 0.006830546073615551]","[-0.02646634620941768, -0.028678605831373716]",,"[0.026361385556811, -0.005587161675066454]",,"[0.04654621592226249, 0.014985217353569167]",,"[-0.02816187310963869, -0.012902143062092364]",,,,"[-0.06514855294881272, -0.03457257419540838]",
08 11 15 0 3 0.0000000,"[0.027693583642758313, 0.01161030937146279]",,"[0.01667266541699064, 0.00954338790870679]",,,,"[0.016083271009847522, 0.008865176234394312]","[-0.02846060689080332, -0.00398852136277128]",,"[0.02875934365329158, 0.004795916192961158]",,"[0.07698493711632182, 0.060877442388118645]",,"[-0.029154966992791742, -0.0019861877663061023]",,,,"[-0.07193872982134053, -0.013580353745055618]",
08 11 15 0 3 30.0000000,"[0.028718973851937335, 0.0020507804183580447]",,"[0.015663425736420322, -0.002018479361140635]",,,,"[-6.45914115011692e-05, -0.03229572484269738]","[-0.03684942407380731, -0.016777634366007987]",,"[0.055290281898123794, 0.05306187648966443]",,"[0.09721013609669171, 0.04045039796073979]",,"[-0.039481525134760886, -0.02065311628393829]",,,,"[-0.09343153485133371, -0.04298561005998636]",
08 11 15 0 4 0.0000000,"[0.03100389662449743, 0.004569845545120188]",,"[0.016672663045937952, 0.00201847461903526]",,,,"[0.02280078222975135, 0.045730747282505035]","[-0.03995788390420785, -0.006216919660801068]",,"[0.07635516905611439, 0.042129774315981194]",,"[0.11267978809382839, 0.03093930399427336]",,"[-0.04215399536769837, -0.00534494046587497]",,,,"[-0.10184457190007379, -0.01682607409748016]",
08 11 15 0 4 30.0000000,"[0.030535609545040643, -0.0009365741589135722]",,"[0.01679377304026275, 0.0002422199886495946]",,,,"[0.028718973975628614, 0.011836383491754532]","[-0.050163334410171956, -0.020410901011928217]",,"[0.10015712027961854, 0.047603902447008295]",,"[0.12669613319667405, 0.028032690205691324]",,"[-0.047765379305928946, -0.011222767876461148]",,,,"[-0.1192277467562235, -0.034766349712299416]",
08 11 15 0 5 0.0000000,"[0.03385399304897874, 0.0066367670078761876]",,"[0.022066048018132278, 0.010544549955739058]",,,,"[0.016099419444799423, -0.025239109061658382]","[-0.053845045526031754, -0.007363422231719596]",,"[0.1125183082986041, 0.024722376037971117]",,"[0.13910576628040872, 0.024819266167469323]",,"[-0.04650584433693439, 0.0025190699379891157]",,,,"[-0.13674010331487807, -0.03502471311730915]",
08 11 15 0 5 30.0000000,"[0.030503313230838103, -0.006701359636281268]",,"[0.017447762743358908, -0.009236570549546741]",,,,"[0.0159621627535671, -0.0002745133824646473]","[-0.056315670921321725, -0.004941250790579943]",,"[0.12068912772883778, 0.016341638860467356]",,"[0.1800728946068375, 0.08193425665285758]",,"[-0.060255751363001764, -0.027499814052134752]",,,,"[-0.14864915241196286, -0.02381809819416958]",
08 11 15 0 6 0.0000000,"[0.035396117179516295, 0.009785607897356385]",,"[0.018666926099285774, 0.0024383267118537333]",,,,"[0.017076365184038877, 0.002228404860943556]","[-0.06338036054148688, -0.014129379240330309]",,"[0.13036169734186842, 0.019345139226061292]",,"[0.19268437550863382, 0.025222961803592625]",,"[-0.06430079130223021, -0.00809007987845689]",,,,"[-0.16323874702356989, -0.029179189223214053]",
08 11 15 0 6 30.0000000,"[0.03882753778452752, 0.006862841210022452]",,"[0.01600252992739115, -0.005328792343789246]",,,,"[0.010867511620745063, -0.01241770712658763]","[-0.07125244380404183, -0.015744166525109904]",,"[0.15340469820876024, 0.04608600173378363]",,"[0.20523933845242937, 0.02510992588759109]",,"[-0.07168843696126714, -0.014775291318073869]",,,,"[-0.17351686186702864, -0.020556229686917504]",
08 11 15 0 7 0.0000000,"[0.03967529826331884, 0.0016955209575826302]",,"[0.017754570620127197, 0.003504081385472091]",,,,"[0.012078601401299238, 0.0024221795611083508]","[-0.07830098526574147, -0.014097082923399284]",,"[0.1726368027029821, 0.038464208988443715]",,"[0.22182319433886732, 0.03316771177287592]",,"[-0.07145429338561371, 0.00046828715130686765]",,,,"[-0.18985042427812004, -0.032667124822182814]",
08 11 15 0 7 30.0000000,"[0.03962685616170347, -9.688420323072933e-05]",,"[0.015041732347526704, -0.005425676545200986]",,,,"[0.0029469847213476896, -0.018263233359903097]","[-0.09047647303304984, -0.024350975534616737]",,"[0.19275703984567372, 0.04024047428538324]",,"[0.23726862528565107, 0.03089086189356749]",,"[-0.07859972264850512, -0.014290858525782824]",,,,"[-0.20400402812538232, -0.02830720769452455]",
08 11 15 0 8 0.0000000,"[0.046489697371725924, 0.013725682420044905]",,"[0.015057882876135409, 3.2301057217409834e-05]",,,,"[0.0012191638816148043, -0.0034556416794657707]","[-0.09755731080986152, -0.014161675553623354]",,"[0.22775753250607522, 0.07000098532080301]",,"[0.24619839329261595, 0.017859536013929755]",,"[-0.08225721505004913, -0.007314984803088009]",,,,"[-0.21110101287467842, -0.014193969498592196]",
08 11 15 0 8 30.0000000,"[0.05341713121106295, 0.013854867678674054]",,"[0.016955252242951246, 0.003794738733631675]",,,,"[0.012974807526916265, 0.023511287290602922]","[-0.1045331891218666, -0.013951756624010159]",,"[0.2502918753089034, 0.045068685605656356]",,"[0.24924226582697884, 0.006087745068725781]",,"[-0.0879251139704138, -0.011335797840729356]",,,,"[-0.23896415098442958, -0.055726276219502324]",
08 11 15 0 9 0.0000000,"[0.06017501295445982, 0.01351576348679373]",,"[0.019433950532402378, 0.004957396578902262]",,,,"[0.009293094743043184, -0.007363425567746162]","[-0.1086589662663755, -0.008251554289017804]",,"[0.28357262181089027, 0.06656149300397374]",,"[0.27247096635574053, 0.046457401057523384]",,"[-0.09096898592542857, -0.0060877439100295305]",,,,"[-0.24707845304965304, -0.01622860413044691]",
08 11 15 0 9 30.0000000,"[0.06438960377909098, 0.008429181649262318]",,"[0.01899795739700494, -0.0008719862707948778]",,,,"[0.00512694614008069, -0.008332297205924988]","[-0.11895323045246187, -0.020588528372172732]",,"[0.304839356787852, 0.042533469953923486]",,"[0.2641305954221025, -0.016680741867276083]",,"[-0.09045225434238091, 0.0010334631660953164]",,,,"[-0.2647926580184503, -0.03542840993759455]",
08 11 15 0 10 0.0000000,"[0.07038853635367559, 0.011997865149169229]",,"[0.021831908034982916, 0.0056679012759559555]",,,,"[0.022340567549690604, 0.03442724281921983]","[-0.12076986614556517, -0.0036332713862066157]",,"[0.33725619109827676, 0.0648336686208495]",,"[0.2890951914496327, 0.04992919205506041]",,"[-0.0919378575636074, -0.002971206442452967]",,,,"[-0.2748608503725336, -0.020136384708166588]",
08 11 15 0 10 30.0000000,"[0.07773581279980135, 0.014694552892251522]",,"[0.02414912712174555, 0.004634438173525268]",,,,"[0.010294262086972594, -0.02409261092543602]","[-0.12681724081994616, -0.01209474934876198]",,"[0.3592576547853241, 0.044002927374094725]",,"[0.286188575882079, -0.005813231135107344]",,"[-0.09343153488589451, -0.002987354644574225]",,,,"[-0.289983324692912, -0.030244948640756778]",
08 11 15 0 11 0.0000000,"[0.09003241293157771, 0.024593200263552717]",,"[0.028379868474985415, 0.008461482706479728]",,,,"[0.004803989082574844, -0.0109805460087955]","[-0.12775381497885974, -0.0018731483178271444]",,"[0.39567915980478574, 0.07284301003892324]",,"[0.2936650358087718, 0.014952919853385538]",,"[-0.09256762504810467, 0.001727819675579667]",,,,"[-0.29433517366942397, -0.008703697953023948]",
