epoch,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G22,G23,G25,G27,G28,G31,G32
08 11 15 0 0 0.0000000,"[0.27937113493680954, 0.26790957897901535]",,"[0.260898657143116, 0.2925354987382889]",,,,"[0.26173197105526924, 0.0027341321110725403]","[0.14364448189735413, 0.0856182761490345]",,"[0.712988842278719, -0.8310394957661629]",,"[-0.31212257593870163, 0.8180577009916306]",,"[-0.0804302990436554, 0.5417898818850517]",,,,"[-0.26621680334210396, -0.058007314801216125]",
08 11 15 0 0 30.0000000,"[0.2129668891429901, 0.4532294012606144]",,"[-0.04594063013792038, -0.11173386499285698]",,,,"[0.16796817630529404, -0.06301602348685265]","[-0.2525905482470989, 0.046048011630773544]",,"[0.2925698272883892, -0.5820233449339867]",,"[-0.34687551483511925, 0.6994592137634754]",,"[-0.195696908980608, 0.1650494523346424]",,,,"[0.0668732337653637, -0.08294449001550674]",
08 11 15 0 1 0.0000000,"[0.044803228229284286, -0.2348664030432701]",,"[0.010169200599193573, -0.1854337453842163]",,,,"[-0.2909206449985504, 0.5089930035173893]","[-0.1377483680844307, 0.2537706308066845]",,"[0.3660178482532501, -0.4185442626476288]",,"[-0.35020219162106514, 0.30742114409804344]",,"[-0.08184809610247612, 0.15663472935557365]",,,,"[-0.044360850006341934, 0.2638835981488228]",
08 11 15 0 1 30.0000000,"[0.042200468480587006, -0.3456794507801533]",,"[-0.06737988814711571, 0.13301938027143478]",,,,"[0.3062251880764961, -0.14674728363752365]","[-0.055915717035532, 0.03272351622581482]",,"[0.6577878668904305, -0.10580027848482132]",,"[0.017030373215675354, -0.16516653820872307]",,"[0.08316196873784065, -0.4510107599198818]",,,,"[-0.03446858748793602, -0.508155919611454]",
08 11 15 0 2 0.0000000,"[0.12309709191322327, 0.20350417122244835]",,"[-0.07136331498622894, 0.2891831025481224]",,,,"[-0.46953607350587845, 0.11270106956362724]","[-0.09450872614979744, 0.22470137476921082]",,"[-0.1866518035531044, -0.668227631598711]",,"[0.15643146261572838, 0.13295258581638336]",,"[0.009405422955751419, 0.535097274929285]",,,,"[-0.07902691140770912, 0.2743815705180168]",
08 11 15 0 2 30.0000000,"[0.08872056752443314, 0.25285710394382477]",,"[0.1543290615081787, -0.08835921436548233]",,,,"[0.021524876356124878, 0.03310359641909599]","[0.00439850240945816, 0.3339759074151516]",,"[0.3228358030319214, 0.14116261899471283]",,"[-0.4629020430147648, -0.22343771159648895]",,"[-0.2849254906177521, -0.2937677167356014]",,,,"[-0.03579114004969597, -0.09717297554016113]",
08 11 15 0 3 0.0000000,"[0.00261518731713295, 0.3590320721268654]",,"[-0.006871305406093597, 0.06231480836868286]",,,,"[0.3488655723631382, 0.06918548047542572]","[-0.297287680208683, 0.05350635573267937]",,"[0.25338589400053024, 0.22765465825796127]",,"[0.19334956258535385, 0.22777067869901657]",,"[-0.3996119201183319, 0.24015575274825096]",,,,"[0.22608468309044838, 0.2830355688929558]",
08 11 15 0 3 30.0000000,"[-0.04721894487738609, 0.18160072714090347]",,"[-0.4653310924768448, 0.11145858466625214]",,,,"[0.04845895245671272, 0.36143573373556137]","[-0.005500432103872299, 0.11899834871292114]",,"[0.06364544853568077, 0.34733596444129944]",,"[0.48760030418634415, 0.18396618217229843]",,"[0.016354423016309738, -0.019934333860874176]",,,,"[0.03709692880511284, 0.1056051179766655]",
08 11 15 0 4 0.0000000,"[0.06511682644486427, -0.11416594311594963]",,"[0.08042630553245544, 0.07261241972446442]",,,,"[-0.1890067309141159, 0.2989519126713276]","[-0.0641770288348198, 0.2711007036268711]",,"[-0.32392845302820206, 0.07303666695952415]",,"[-0.7405203618109226, 0.3239222280681133]",,"[-0.06059129908680916, 0.31107015535235405]",,,,"[-0.010340619832277298, 0.07286280021071434]",
08 11 15 0 4 30.0000000,"[-0.06159257888793945, 0.07294070348143578]",,"[-0.10849146544933319, 0.11674222350120544]",,,,"[-0.20447392761707306, -0.38019052892923355]","[-0.27448614686727524, -0.028217267245054245]",,"[-0.3202207647264004, -0.7129058763384819]",,"[0.10604888945817947, 0.06699730455875397]",,"[-0.04740868881344795, 0.530048530548811]",,,,"[0.01725580170750618, 0.09063084423542023]",
08 11 15 0 5 0.0000000,"[0.2805320806801319, -0.10663113370537758]",,"[-0.12616556137800217, 0.22113915160298347]",,,,"[0.426387757062912, 0.3487140014767647]","[-0.07625511661171913, 0.14456752315163612]",,"[0.3421887792646885, -0.6036406755447388]",,"[0.12970802560448647, -0.48546887189149857]",,"[-0.11846855282783508, 0.11548342928290367]",,,,"[-0.11055780202150345, 0.1319381296634674]",
08 11 15 0 5 30.0000000,"[0.12027663737535477, 0.054797228425741196]",,"[-0.2669514901936054, -0.11846090108156204]",,,,"[0.2987055443227291, 0.5259778760373592]","[-0.27951910346746445, 0.1173330508172512]",,"[-0.36252839490771294, -0.393148235976696]",,"[0.24614138156175613, -0.1369430087506771]",,"[-0.10682058334350586, -0.30826976522803307]",,,,"[0.04542134702205658, 0.2962392196059227]",
08 11 15 0 6 0.0000000,"[0.05990120768547058, 0.45134375989437103]",,"[0.19329378008842468, 0.19326327741146088]",,,,"[0.37287817895412445, -0.4374118186533451]","[-0.12388847395777702, 0.08618855848908424]",,"[0.2093868963420391, 0.14656658843159676]",,"[-0.1683061122894287, 0.044563475996255875]",,"[-0.04316132143139839, 0.1358005441725254]",,,,"[0.15275930613279343, 0.029846176505088806]",
08 11 15 0 6 30.0000000,"[0.10481094568967819, 0.17060141637921333]",,"[0.12031970545649529, 0.4632425829768181]",,,,"[-0.483598742634058, 0.35567232966423035]","[0.22987628728151321, 0.2338610403239727]",,"[-0.374115776270628, 0.21411555632948875]",,"[-0.10625718533992767, -0.06545582041144371]",,"[-0.3194539435207844, 0.011605944484472275]",,,,"[-0.027165401726961136, 0.014884069561958313]",
08 11 15 0 7 0.0000000,"[-0.035846106708049774, -0.1017226129770279]",,"[-0.15316352993249893, -0.34355243295431137]",,,,"[0.03410044312477112, -0.4261527471244335]","[-0.03555341437458992, 0.2756625674664974]",,"[0.002085179090499878, -0.580128837376833]",,"[-0.0008361451327800751, -0.1845203973352909]",,"[0.1482306607067585, 0.5623825304210186]",,,,"[0.28344230726361275, 0.10207570344209671]",
08 11 15 0 7 30.0000000,"[0.2559858039021492, 0.05809026211500168]",,"[-0.13214541226625443, -0.1345999538898468]",,,,"[-0.1442663036286831, -0.20110652968287468]","[0.012113533914089203, -0.05445319041609764]",,"[-0.2907647527754307, -0.37207523360848427]",,"[-0.2660841681063175, 0.3402987830340862]",,"[-0.19801941514015198, 0.017325613647699356]",,,,"[-0.09152914956212044, -0.08145549520850182]",
08 11 15 0 8 0.0000000,"[-0.02427338808774948, 0.08152689784765244]",,"[-0.165712371468544, -0.21016056835651398]",,,,"[-0.12449032068252563, 0.4739907383918762]","[0.002698548138141632, 0.20635036379098892]",,"[-0.46437491849064827, -0.2659366838634014]",,"[-0.022342104464769363, -0.6624514162540436]",,"[0.041055552661418915, 0.19496386498212814]",,,,"[-0.24453066661953926, 0.4057551808655262]",
