epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G29,G31,G32
08 11 14 23 59 59.9960000,,"[0.27550316601991653, 0.6403595469892025]",,"[0.48549821227788925, 0.2604154907166958]",,,,"[-0.19507237151265144, 0.06037233769893646]","[0.25312841683626175, -0.0704730786383152]",,"[0.47301946952939034, -0.4226400591433048]",,"[0.6519305109977722, 0.7971113510429859]","[-0.23783192411065102, 0.15862933546304703]",,,,,"[0.013842537999153137, -0.47609325870871544]",
08 11 15 0 0 29.9960000,,"[-0.1485925428569317, 0.24521752074360847]",,"[0.10026082396507263, 0.395948801189661]",,,,"[-0.18865230679512024, -0.07151966914534569]","[0.2415408380329609, -0.25512976571917534]",,"[-0.27109384164214134, -0.04739019274711609]",,"[-0.016408126801252365, 0.21940187364816666]","[-0.1630420982837677, 0.22443663701415062]",,,,,"[0.03992241621017456, -0.13864607736468315]",
08 11 15 0 0 59.9960000,,"[0.1597912311553955, 0.15149663761258125]",,"[0.18724502250552177, 0.15457682311534882]",,,,"[-0.4294188842177391, 0.21169531717896461]","[0.0430869422852993, 0.03470273315906525]",,"[1.3203768394887447, 0.4049152731895447]",,"[-0.8035571537911892, 0.32602449133992195]","[-0.21034865081310272, 0.05631720647215843]","[-0.023399189114570618, -1.3721428327262402]",,,,"[-0.2872665300965309, 0.2680521309375763]",
08 11 15 0 1 29.9960000,,"[0.17610559985041618, 0.2473967857658863]",,"[0.31165242940187454, 0.08998614177107811]",,,,"[-0.011677887290716171, 0.3885314613580704]","[0.06248418986797333, 0.0015078559517860413]",,"[-0.692653302103281, 0.2728298231959343]",,"[0.3712783120572567, 0.05056596174836159]","[-0.43797997385263443, -0.534752082079649]","[-0.3575381599366665, -0.861158050596714]",,,,"[-0.17988623306155205, 0.2434692271053791]",
08 11 15 0 1 59.9960000,,"[0.02955971658229828, 0.58719402551651]",,"[0.05991816520690918, -0.2685670405626297]",,,,"[0.06830037385225296, 0.024942606687545776]","[-0.22456486150622368, -0.056837402284145355]",,"[-0.2335866428911686, 0.37650254741311073]",,"[-0.17404331639409065, 0.2782277427613735]","[-0.19831664487719536, 0.2276543453335762]","[-0.7451175712049007, -0.503416832536459]",,,,"[0.006236765533685684, 0.2473730929195881]",
08 11 15 0 2 29.9960000,,"[0.0031308606266975403, 0.27066175267100334]",,"[-0.017693962901830673, -0.16908181831240654]",,,,"[-0.3556908518075943, -0.1599579006433487]","[-0.11440729722380638, -0.2775247320532799]",,"[0.39133717119693756, 0.27962904796004295]",,"[-0.5380473658442497, 0.9912776090204716]","[0.2638896591961384, 0.27740681916475296]","[0.0812925323843956, -0.025515202432870865]",,,,"[-0.12970933318138123, 0.5439789108932018]",
08 11 15 0 2 59.9960000,,"[0.4005214720964432, 0.3053755797445774]",,"[0.19811158999800682, -0.18495401740074158]",,,,"[-0.3279200904071331, 0.17786899209022522]","[0.14677182585000992, -0.2879726216197014]",,"[0.2848380170762539, 0.5833864249289036]",,"[0.1779942736029625, 0.13823583349585533]","[-0.05910959839820862, 0.21097401157021523]","[-0.10865329205989838, 0.23315190896391869]",,,,"[0.13539742678403854, 0.06284463405609131]",
08 11 15 0 3 29.9960000,,"[0.059121955186128616, 0.30519644543528557]",,"[-0.1787380762398243, -0.4984874837100506]",,,,"[0.0357745997607708, -0.197185467928648]","[-0.22100748121738434, -0.1710440069437027]",,"[-0.8051778748631477, -0.7301636151969433]",,"[-0.9773154743015766, -0.2803797759115696]","[-0.030671630054712296, 0.03435968607664108]","[-0.3282943144440651, -0.3949635922908783]",,,,"[0.26214711740612984, 0.3441072255373001]",
08 11 15 0 3 59.9960000,,"[-0.2609986290335655, -0.12985627725720406]",,"[-0.27424337714910507, -0.2811364568769932]",,,,"[-0.5114546529948711, -0.5184305757284164]","[0.3194582238793373, -0.34832074120640755]",,"[0.7071523405611515, -0.7595495767891407]",,"[0.368798092007637, 0.04675053805112839]","[0.15244651958346367, -0.38074955716729164]","[0.04212791845202446, -0.17581573501229286]",,,,"[0.01011175662279129, -0.009755253791809082]",
08 11 15 0 4 29.9960000,,"[-0.2242874801158905, -0.36799415200948715]",,"[0.15450099855661392, -0.11321860924363136]",,,,"[0.06001041457056999, -1.1981541849672794]","[0.16923609375953674, -0.15528501570224762]",,"[-0.07959340885281563, -2.1883670166134834]",,"[-0.548503790050745, 0.2672155126929283]","[0.2127324678003788, 0.06966959685087204]","[-0.09623571112751961, -0.16991833597421646]",,,,"[-0.38833342865109444, 0.632643561810255]",
