epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 0 0.0000000,,,,,,,,,,,,,,,,,,,
08 11 15 0 0 30.0000000,,"[-0.005175389880605508, -0.010350779761211015]",,"[-0.00807393167178816, -0.01614786334357632]",,,,"[-0.0020911482920382696, -0.004182296584076539]","[0.0014129381324892165, 0.002825876264978433]",,"[-0.008501849839376519, -0.017003699678753037]",,"[0.00284202390162136, 0.00568404780324272]","[-0.0179887193464765, -0.035977438692953]",,,,"[-0.019425879123446066, -0.03885175824689213]",
08 11 15 0 1 0.0000000,,"[-0.0047071022127056494, 0.0009365753357997165]",,"[-0.003382977318324265, 0.009381908706927788]",,,,"[-0.025723545641540113, -0.04726479469900369]","[-0.009260799601179315, -0.021347475467337063]",,"[-0.00937383448035689, -0.0017439692819607444]",,"[0.014944847108495196, 0.024205646413747672]","[-0.021412066354287163, -0.006846694015621324]","[-0.003940078568120953, -0.007880157136241905]",,,"[-0.024334829449799145, -0.009817900652706157]",
08 11 15 0 1 30.0000000,,"[0.005328794715751428, 0.020071793856914155]",,"[0.006927433098098845, 0.02062082083284622]",,,,"[-0.02038667714532494, 0.01067373699243035]","[-0.011973640392170637, -0.005425681581982644]",,"[0.007888230974458565, 0.03452413090963091]",,"[0.022687747408213, 0.015485800599435606]","[-0.03546878103531981, -0.02811342936206529]","[0.0054660516061630915, 0.01881226034856809]",,,"[-0.040700689063669415, -0.03273171922774054]",
08 11 15 0 2 0.0000000,,"[0.002292996854521334, -0.006071595722460188]",,"[0.002292996406140446, -0.009268873383916798]",,,,"[-0.021678506023363298, -0.002583657756076718]","[-0.022663525691314135, -0.021379770598286996]",,"[0.018271306913447916, 0.0207661518779787]",,"[0.06509203558346144, 0.08480857635049688]","[-0.03503278875200522, 0.0008719845666291803]","[-0.007096985786574805, -0.025126074785475794]",,,"[-0.06006197644819622, -0.03872257476905361]",
08 11 15 0 2 30.0000000,,"[0.005280351135297678, 0.0059747085615526885]",,"[0.003124611394468957, 0.0016632299766570213]",,,,"[0.0009285023024858674, 0.04521401665169833]","[-0.028226464537510765, -0.01112587769239326]",,"[0.04028891801726786, 0.04403522220763989]",,"[0.09861499918622485, 0.06704592720552682]","[-0.040466544673222415, -0.010867511842434396]","[0.009914787859997887, 0.034023547293145384]",,,"[-0.056961586844408885, 0.006200779207574669]",
08 11 15 0 3 0.0000000,,"[0.008897472587705124, 0.0072342429048148915]",,"[0.010027822849679069, 0.013806422910420224]",,,,"[-0.020838817104504415, -0.043534638813980564]","[-0.03959455999574857, -0.022736190916475607]",,"[0.03781022106159071, -0.004957393911354302]",,"[0.1026519649481088, 0.008073931523767897]","[-0.031585220026727256, 0.017762649292990318]","[0.013039399328590662, 0.00624922293718555]",,,"[-0.060118494107882725, -0.006313814526947681]",
08 11 15 0 3 30.0000000,,"[0.013741831469815224, 0.0096887177642202]",,"[0.007032394194538938, -0.005990857310280262]",,,,"[-0.012627628614154673, 0.016422376980699482]","[-0.04071683648180624, -0.0022445529721153434]",,"[0.06670682182902965, 0.05779320153487788]",,"[0.11693474968274131, 0.02856556946926503]","[-0.04772500906960886, -0.032279578085763205]","[0.020491638130806678, 0.014904477604432033]",,,"[-0.09190556243265746, -0.06357413664954947]",
08 11 15 0 4 0.0000000,,"[0.02401187223586021, 0.02054008153208997]",,"[0.0014694554965899442, -0.011125877395897987]",,,,"[-0.0063380363208125345, 0.012579184586684278]","[-0.046772285086262855, -0.01211089720891323]",,"[0.06980721158015513, 0.006200779502250953]",,"[0.0980175282561504, -0.03783444285318183]","[-0.05617034135866561, -0.0168906645781135]","[0.016963330063617832, -0.007056616134377691]",,,"[-0.10794039015672752, -0.03206965544814011]",
08 11 15 0 4 30.0000000,,"[0.010770624459837563, -0.026482495552045293]",,"[-0.003253794430747803, -0.009446499854675494]",,,,"[-0.00679824991402711, -0.0009204271864291513]","[-0.06770798950492463, -0.04187140883732354]",,"[0.07557199868824682, 0.011529574216183391]",,"[0.11612735656001405, 0.0362196566077273]","[-0.06901596635555052, -0.025691249993769816]","[0.04042617490972589, 0.04692568969221611]",,,"[-0.1315889353681996, -0.047297090422944166]",
