epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G29,G31,G32
08 11 14 23 59 59.9980000,,,,,,,,,,,,,,,,,,,,
08 11 15 0 0 29.9980000,,"[0.010496110218809918, 0.020992220437619835]",,"[0.005183463668799959, 0.010366927337599918]",,,,"[-0.036033956948813284, -0.07206791389762657]","[-0.006774028419386013, -0.013548056838772027]",,"[0.011569943861104548, 0.023139887722209096]",,,"[0.009503017517999979, 0.019006035035999957]",,,,,"[-0.02018482903167751, -0.04036965806335502]",
08 11 15 0 0 59.9980000,,"[0.0121754877618514, 0.003358755086082965]",,"[0.011400390438211616, 0.012433853538823314]",,,,"[-0.05579086647776421, -0.039513819057901856]","[-0.014589594316930743, -0.01563113179508946]",,"[-0.02768551104236394, -0.07851090980693698]",,,"[0.02129903129025479, 0.02359202754450962]",,,,,"[-0.03626810033847505, -0.032166542613595084]",
08 11 15 0 1 29.9980000,,"[0.02835564623819664, 0.03236031695269048]",,"[0.016567707141803112, 0.010334633407182992]",,,,"[-0.024439790398901096, 0.06270215215772623]","[-0.025771989374334225, -0.022364790114806965]",,"[-0.009067025035619736, 0.03723697201348841]",,,"[0.005853599752299488, -0.030890863075910602]",,,,,"[-0.050131040762153134, -0.027725880847356166]",
08 11 15 0 1 59.9980000,,"[0.052973063982790336, 0.04923483548918739]",,"[0.019312842909130268, 0.005490271534654312]",,,,"[-0.05230292791384272, -0.055726275029883254]","[-0.023971502578206128, 0.003600973592256196]",,"[0.013628796266857535, 0.04539164260495454]",,,"[-0.00016955328101175837, -0.012046306066622492]","[-0.015687648898165207, -0.031375297796330415]",,,,"[-0.06358221058235358, -0.026902339640400896]",
08 11 15 0 2 29.9980000,,"[0.050518590287538245, -0.004908947390504181]",,"[0.008235410874476656, -0.022154864069307223]",,,,"[-0.026853896652028197, 0.05089806252362905]","[-0.03074553099759214, -0.013548056838772027]",,"[0.02901770977769047, 0.030777827021665868]",,,"[0.0007185799622675404, 0.0017762664865585975]","[-0.007799417812748288, 0.015776462170833838]",,,,"[-0.08162744759056295, -0.03609047401641874]",
08 11 15 0 2 59.9980000,,"[0.05200419231550768, 0.0029712040559388697]",,"[0.012361188018985558, 0.008251554289017804]",,,,"[-0.018586190053611062, 0.01653541319683427]","[-0.03238453918311279, -0.0032780163710413035]",,"[0.027701659069862217, -0.002632101415656507]",,,"[0.016067123149696272, 0.03069708637485746]","[0.021081035093629907, 0.05776090581275639]",,,,"[-0.09822745059682347, -0.033200006012521044]",
08 11 15 0 3 29.9980000,,"[0.04719212916097604, -0.009624126309063286]",,"[0.011868678702739999, -0.0009850186324911192]",,,,"[-0.02951021933768061, -0.021848058568139095]","[-0.03190817728500406, 0.0009527237962174695]",,"[0.030083468824159354, 0.0047636195085942745]",,,"[0.010544554104853887, -0.01104513808968477]","[0.029211484093139006, 0.016260897999018198]",,,,"[-0.08308882900837489, 0.030277243176897176]",
08 11 15 0 3 59.9980000,,"[0.06934699797420762, 0.044309737626463175]",,"[0.017270140124310274, 0.01080292284314055]",,,,"[-0.02604650301145739, 0.006927432652446441]","[-0.05202841457503382, -0.040240474580059526]",,"[0.012587259290739894, -0.03499241906683892]",,,"[-0.015364691938884789, -0.05181849208747735]","[0.0827255020631128, 0.10702803593994759]",,,,"[-0.10767395045149897, -0.04917024288624816]",
08 11 15 0 4 29.9980000,,"[0.05766401832806878, -0.023365959292277694]",,"[0.010294263003743254, -0.01395175424113404]",,,,"[-0.023753506160574034, 0.004585993701766711]","[-0.06040108137858624, -0.01674533360710484]",,"[0.01657578139565885, 0.007977044209837914]",,,"[-0.025780063748243265, -0.02083074361871695]","[0.10995079899657867, 0.05445059386693174]",,,,"[-0.1224653928807129, -0.029582884858427864]",
08 11 15 0 4 59.9980000,,"[0.06704592704772949, 0.01876381743932143]",,"[0.022235607226321008, 0.02388268844515551]",,,,"[-0.0176334671486984, 0.012240078023751266]","[-0.0725846441127942, -0.024367125468415907]",,"[0.01641430292511359, -0.0003229569410905242]",,,"[-0.01931284409147338, 0.01293443931353977]","[0.10951480667699798, -0.0008719846391613828]",,,,"[-0.11617580029087549, 0.012579185179674823]",
08 11 15 0 5 29.9980000,,"[0.07163999363547191, 0.009188133175484836]",,"[0.02584465401014313, 0.007218093567644246]",,,,"[-0.03380555094918236, -0.03234416760096792]","[-0.07670234895704198, -0.008235409688495565]",,"[0.025529771635774523, 0.01823093742132187]",,,"[-0.031609441262844484, -0.02459319434274221]","[0.12437891455465433, 0.0297282157553127]",,,,"[-0.13555323582932033, -0.038754871076889685]",
08 11 15 0 5 59.9980000,,"[0.06891100484062918, -0.00545797758968547]",,"[0.020402824564371258, -0.010883658891543746]",,,,"[-0.0477169353980571, -0.027822768897749484]","[-0.07621791312885762, 0.0009688716563687194]",,"[0.05949680117191747, 0.06793405907228589]",,"[-0.009163912240182981, -0.018327824480365962]","[-0.04567423142725602, -0.028129580328823067]","[0.10316062264337234, -0.04243658382256399]",,,,"[-0.15902415486516475, -0.046941838071688835]",
08 11 15 0 6 29.9980000,,"[0.08484894689172506, 0.031875884102191776]",,"[0.013120138377416879, -0.014565372373908758]",,,,"[-0.022921892061276594, 0.04959008667356102]","[-0.08542219506853144, -0.01840856387934764]",,"[0.0862134404014796, 0.05343327845912427]",,"[0.07334359362721443, 0.16501501173479483]","[-0.06198357278844924, -0.03261868272238644]","[0.08271742805845861, -0.04088638916982745]",,,,"[-0.18367386775207706, -0.04929942577382462]",
