epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 0 0.0000000,,"[0.15583379566669464, 0.9788005538284779]",,"[-0.12173302099108696, 0.2768755443394184]",,,,"[-0.19215616956353188, -0.15671014413237572]","[-0.31826404109597206, -0.050031695514917374]",,"[0.5692263841629028, -0.10991648957133293]",,,"[-0.1994769312441349, -0.4769935980439186]",,,,"[-0.047671567648649216, -0.8692412450909615]",
08 11 15 0 0 30.0000000,,"[0.21609864383935928, 0.0068944282829761505]",,"[-0.005410593003034592, 0.09469745308160782]",,,,"[-0.210047397762537, -0.04937870055437088]","[-0.39401259273290634, 0.21497207134962082]",,"[1.5044559873640537, -0.013181056827306747]",,,"[-0.2569412775337696, -0.2747037038207054]",,,,"[-0.036687955260276794, -0.20433500409126282]",
08 11 15 0 1 0.0000000,,"[0.32219017669558525, -0.3070540092885494]",,"[-0.11844213306903839, 0.1278739869594574]",,,,"[-0.1830640323460102, -0.3196801170706749]","[-0.3777681030333042, -0.06953539326786995]",,"[0.6567819975316525, 0.37377675250172615]",,,"[-0.15428455919027328, 0.27918992936611176]","[0.04751674085855484, -0.7942777387797832]",,,"[-0.4725579060614109, -0.027447838336229324]",
08 11 15 0 1 30.0000000,,"[-0.0166461244225502, -0.41383418440818787]",,"[0.02645290642976761, -0.014971867203712463]",,,,"[0.06079990416765213, -0.49362241849303246]","[-0.1290244497358799, 0.5037357024848461]",,"[0.24833191186189651, 1.0491302609443665]",,"[1.1303567960858345, -1.2576656602323055]","[-0.24806295335292816, 0.1649104207754135]","[0.24565137922763824, -0.7579515501856804]",,,"[-0.3901151120662689, -0.6903281807899475]",
08 11 15 0 2 0.0000000,,"[0.16692427173256874, -0.00026445090770721436]",,"[-0.04493923857808113, -0.07180073484778404]",,,,"[-0.13423018902540207, -0.9262998104095459]","[-0.6087953113019466, -0.31513790786266327]",,"[-0.6326287165284157, 0.7443636916577816]",,"[-1.266186110675335, -0.4742188826203346]","[-0.381875678896904, -0.02925243228673935]","[0.23181177303195, -0.8677955865859985]",,,"[-0.18971670046448708, 0.24045560881495476]",
08 11 15 0 2 30.0000000,,"[-0.21329784020781517, -0.4757770858705044]",,"[-0.172660194337368, 0.022798940539360046]",,,,"[-0.04706120491027832, 0.3008900508284569]","[-0.18874253705143929, -0.19420373067259789]",,"[-0.5829877071082592, 0.7384465038776398]",,"[1.33241743221879, -0.10426203534007072]","[-0.18400846794247627, -0.2143474593758583]","[-0.34988731518387794, -0.39626070484519005]",,,"[-0.33006929606199265, 0.7329653799533844]",
08 11 15 0 3 0.0000000,,"[0.0841481126844883, 0.08269741013646126]",,"[0.017336886376142502, 0.08714836463332176]",,,,"[-0.38888999447226524, -0.4696098454296589]","[0.014318853616714478, 0.1874367967247963]",,"[-0.3020957224071026, 0.03084689751267433]",,"[0.21210063621401787, 0.22605931386351585]","[-0.4515010230243206, -0.27574043720960617]","[-0.23650100827217102, -0.23802250623703003]",,,"[-0.5353997573256493, -0.1384129524230957]",
08 11 15 0 3 30.0000000,,"[-0.0244285948574543, 0.5804362371563911]",,"[0.22614260017871857, -0.3831610567867756]",,,,"[-0.15539546683430672, -0.49993830919265747]","[-0.10900656133890152, -0.07363298162817955]",,"[0.6760772541165352, 0.37105122953653336]",,"[0.9915507137775421, 0.18320352584123611]","[-0.5274336710572243, -0.046914130449295044]","[-0.42501963675022125, -0.22023672983050346]",,,"[-0.03258051723241806, 0.36170094832777977]",
08 11 15 0 4 0.0000000,,"[-0.14833033457398415, -0.16216449812054634]",,"[0.2822509929537773, -0.45150015503168106]",,,,"[-0.09946746751666069, -0.20506105199456215]","[-0.14520814269781113, -0.04966389387845993]",,"[0.6319284290075302, 0.41453827172517776]",,"[-0.3709959387779236, 0.3814060911536217]","[-0.12408728525042534, -0.18166886270046234]","[0.4512716941535473, -0.09742658212780952]",,,"[-0.4499368220567703, 0.18020832911133766]",
08 11 15 0 4 30.0000000,,"[-0.09125903621315956, -0.17508147656917572]",,"[-0.2648913450539112, -0.44818010553717613]",,,,"[0.15034810453653336, -0.08299972116947174]","[-0.06475041806697845, -0.02472534030675888]",,"[-0.15284227579832077, 0.2434687726199627]",,"[-1.1488741114735603, 0.6247095875442028]","[0.10296684503555298, -0.1144951730966568]","[-0.14987874776124954, 0.24756503105163574]",,,"[0.029217597097158432, -0.5142540857195854]",
08 11 15 0 5 0.0000000,,"[-0.032630980014801025, -0.2705095484852791]",,"[0.008397702127695084, -0.09246828407049179]",,,,"[0.42108360305428505, 0.32881860062479973]","[-0.1665855385363102, -0.09559248015284538]",,"[-0.5679460763931274, 0.2719339393079281]",,"[0.5360339283943176, 0.4852565973997116]","[-0.033358313143253326, -0.8435827642679214]","[-0.08763856813311577, 0.7470202147960663]",,,"[-0.00588182732462883, 0.1533718854188919]",
08 11 15 0 5 30.0000000,,"[-0.2092672772705555, -0.15935391187667847]",,"[-0.25307324156165123, -0.28018977865576744]",,,,"[0.07797016948461533, 0.2871241122484207]","[0.01072072982788086, 0.03449495509266853]",,"[-0.4914660006761551, 1.3337520472705364]",,"[-0.5704816170036793, 0.04098998382687569]","[0.2181328423321247, 0.012433618307113647]","[0.042969804257154465, 0.8796466588973999]",,,"[-0.4724883437156677, 0.30030519887804985]",
08 11 15 0 6 0.0000000,,"[0.0796772800385952, -0.06274554133415222]",,"[-0.23941892385482788, 0.4355384409427643]",,,,"[-0.2985764406621456, -0.2433968298137188]","[0.02528413012623787, 0.26476310566067696]",,"[-0.2056487873196602, 1.163395717740059]",,"[0.8919047601521015, -0.18089903518557549]","[0.28972475603222847, -0.07833440601825714]","[-0.14038470014929771, 0.9118398763239384]",,,"[-0.29083988443017006, 0.33617477491497993]",
08 11 15 0 6 30.0000000,,"[0.11805204674601555, 0.268473818898201]",,"[-0.09515653550624847, -0.17478908225893974]",,,,"[0.019334588199853897, -0.3621537461876869]","[-0.3779354356229305, 0.16842080280184746]",,"[0.31739404052495956, 0.677978303283453]",,"[1.7110569030046463, 0.053519513458013535]","[0.11488518863916397, -0.5491390861570835]","[0.015878930687904358, 0.30887574702501297]",,,"[-0.007803667336702347, -0.12678104266524315]",
08 11 15 0 7 0.0000000,,"[-0.12450890988111496, -0.22712866216897964]",,"[-0.0962689071893692, -0.055538278073072433]",,,,"[0.3453999198973179, -0.2680135518312454]","[-0.5608332864940166, -0.1584351547062397]",,"[0.1287757009267807, 1.1500221565365791]",,"[0.16951626166701317, -0.42974549159407616]","[0.051888175308704376, -0.2668290548026562]","[0.5815618485212326, 0.4692649655044079]",,,"[0.032568082213401794, -0.14469215646386147]",
08 11 15 0 7 30.0000000,,"[-0.07711894065141678, 0.2283802069723606]",,"[0.0046312808990478516, 0.23104601353406906]",,,,"[0.01289023831486702, 0.5200726538896561]","[-0.3383610099554062, 0.04873869568109512]",,"[-0.8388179540634155, 0.21574559435248375]",,"[0.688706312328577, -0.35125966742634773]","[-0.10134144872426987, -0.4060535877943039]","[0.661846961826086, -0.1466367468237877]",,,"[-0.1782832331955433, -0.40287869796156883]",
08 11 15 0 8 0.0000000,,"[0.10178348049521446, 0.17838219925761223]",,"[0.17491954565048218, 0.26380779966712]",,,,"[-0.05208289623260498, 0.05741417035460472]","[-0.12347480654716492, -0.05898146331310272]",,"[0.4121870994567871, 0.3755231164395809]",,"[-0.08792692795395851, -0.7089440785348415]","[0.48746420070528984, 0.0010654479265213013]","[0.7349133752286434, -0.1518973670899868]",,,"[-0.03799313306808472, -0.2665526904165745]",
08 11 15 0 8 30.0000000,,"[-0.04204240068793297, 0.2964383102953434]",,"[-0.07848471403121948, 0.08255954086780548]",,,,"[-0.02287318930029869, -0.030870888382196426]","[-0.2519821636378765, -0.26415927335619926]",,"[0.314342625439167, -0.3302243612706661]",,"[-0.19881853833794594, 0.11340931057929993]","[-0.5961806923151016, -0.30797212198376656]","[-0.3197675682604313, -0.05147084221243858]",,,"[0.3629540912806988, -0.37363555654883385]",
08 11 15 0 9 0.0000000,,"[-0.04866162687540054, -0.432892307639122]",,"[0.18539142608642578, -0.321100614964962]",,,,"[-0.6743676550686359, 0.06827500462532043]","[-0.22076191380620003, 0.10510478541254997]",,"[0.3023481033742428, -0.5919499583542347]",,"[-0.5459151528775692, 0.48601509630680084]","[-0.8262383826076984, -0.34860511869192123]","[0.4114284999668598, 0.10063539445400238]",,,"[0.11232144385576248, -0.24640075117349625]",
