epoch,G04,G08,G11,G17,G19,G20,G28,G32
08 11 15 4 40 0.0000000,,,,,,,,
08 11 15 4 40 30.0000000,,"[-0.012159346721621667, -0.024318693443243333]","[0.0021961209467811216, 0.004392241893562243]",,"[-0.01852967268909289, -0.03705934537818578]",,"[0.024423638684215376, 0.04884727736843075]",
08 11 15 4 41 0.0000000,,"[-0.024464019746573307, -0.02460934604990328]","[-0.0021880314573037296, -0.008768304808169702]",,"[-0.040991358860476224, -0.044923372342766665]",,"[0.03882752948657764, 0.028807781604724525]",
08 11 15 4 41 30.0000000,,"[-0.0383108074190206, -0.027693575344894583]","[0.0010899757257014642, 0.0065560143660103876]",,"[-0.05618649277597754, -0.030390267831002623]",,"[0.041136675680231605, 0.004618292387307932]",
08 11 15 4 42 0.0000000,,"[-0.053287951879526396, -0.029954288921011596]","[0.00032295366311707596, -0.0015340441251687764]",,"[-0.0671508995637764, -0.021928813575597728]",,"[0.025771984927270175, -0.03072938150592286]",
08 11 15 4 42 30.0000000,,"[-0.07952823574039325, -0.052480567721733706]","[-0.007654089064762282, -0.015954085455758715]",,"[-0.09226081715300893, -0.050219835178465067]",,"[0.036566825394033664, 0.021589680933526978]",
08 11 15 4 43 0.0000000,,"[-0.08024681570186765, -0.0014371599229487941]","[-0.016672665417232224, -0.018037152704939885]",,"[-0.10536480381342661, -0.026207973320835354]",,"[0.03571906965745786, -0.0016955114731516119]",
08 11 15 4 43 30.0000000,,"[-0.11303504340641712, -0.06557645540909895]","[-0.022057979867124544, -0.01077062889978464]",,"[-0.14508855958841493, -0.07944751154997665]",,"[0.049800006796703045, 0.028161874278490373]",
08 11 15 4 44 0.0000000,,"[-0.11966373989124257, -0.013257392969650894]","[-0.030527533095581205, -0.016939106456913322]",,"[-0.1519594665787899, -0.013741813980749917]",,"[0.05633180959573281, 0.013063605598059524]",
08 11 15 4 44 30.0000000,,"[-0.13033747510523064, -0.021347470427976134]","[-0.03978025891484993, -0.01850545163853745]",,"[-0.1792332040583462, -0.05454747495911261]",,"[0.05017140256093011, -0.01232081406960539]",
