epoch,G04,G08,G11,G17,G19,G20,G28,G32
08 11 15 4 40 0.0000000,,"[2.927572010271251, 6.964056987812121]","[-0.4661368775181476, -0.5318556507428482]",,"[-1.9841435752188166, -0.40334309078752995]",,"[-0.34013819064324124, -1.9064150349547457]",
08 11 15 4 40 30.0000000,,"[2.57150849532336, 7.313217107703288]","[0.17768022688105667, -0.1561758895715073]",,"[-2.0838241181646784, -0.7163023743778467]",,"[0.3321843508320548, 0.14950143831471685]",
08 11 15 4 41 0.0000000,,"[2.1296382157132028, 6.995513353993495]","[-0.174258952122182, -0.08583720823128971]",,"[-2.3582275114332636, -0.8295290563255548]",,"[0.18114156161124484, -1.2838832781960559]",
08 11 15 4 41 30.0000000,,"[2.30259171705693, 6.611027647306521]","[-0.3388747322373096, -0.2651653369267777]",,"[-2.0992271355663736, -2.0254975501447916]",,"[-0.4120365467232965, -2.415154312675197]",
08 11 15 4 42 0.0000000,,"[3.3750754652544854, 7.526628155757983]","[-0.6798684644512836, -0.2504603793223694]",,"[-1.9987603328501184, -0.7493377570062876]",,"[0.26005730663115756, -0.7370959417273593]",
08 11 15 4 42 30.0000000,,"[2.5831490663811563, 7.326394174744685]","[0.06880972804501617, 0.2120843152205154]",,"[-3.382641439822813, -1.6610823813825846]",,"[0.3062235030966498, 0.10531061428288702]",
08 11 15 4 43 0.0000000,,"[2.668467609398067, 7.5294304234286145]","[-0.29473623363301193, 0.00599571267763821]",,"[-2.117881616142889, -1.1304700020700693]",,"[0.6953355434971549, -0.77191032928725]",
08 11 15 4 43 30.0000000,,"[2.840552015416324, 7.051635165264209]","[0.9122647744603452, 0.043881289164225734]",,"[-1.4479668787991007, -0.9911593589931726]",,"[-0.8814554449481271, 0.9648298873255658]",
08 11 15 4 44 0.0000000,,"[2.581793209724128, 7.171272505571444]","[0.8028056872077283, -0.20890475114186557]",,"[-2.9530907622848948, 0.07501775585114956]",,"[0.19753744338328616, 0.19238855975369695]",
08 11 15 4 44 30.0000000,,"[2.9025692177936433, 7.663855691005786]","[-0.03737263856455719, -0.3377176900704697]",,"[-1.9308485589300592, -1.2854535523802042]",,"[-0.4189692970675729, -0.5425380961348605]",
08 11 15 4 45 0.0000000,,"[3.5547307116910813, 7.148379702617724]","[0.17905674399808014, -0.2026115288337067]",,"[-2.805607160118719, -0.3631280902773142]",,"[0.07623744641120211, -0.41449346107741114]",
08 11 15 4 45 30.0000000,,"[3.124901605956256, 7.147967983533938]","[-0.4691164019517604, -0.1512930621703461]",,"[-2.841771116045614, -0.2383104059845209]",,"[-0.3367888268393777, -0.42554954153795954]",
08 11 15 4 46 0.0000000,,"[3.4525774924084542, 7.473614071061213]","[-1.2677955302409831, -0.5429921974738434]",,"[-2.0546769998346766, -1.3196691665798426]",,"[0.4671407404976584, -1.612512488787372]",
