epoch,G03,G06,G07,G08,G11,G13,G16,G19,G21,G23,G25,G27
08 11 15 1 0 0.0000000,,,,,,,,,,,,
08 11 15 1 0 30.0000000,"[-0.0034314134922364126, -0.006862826984472825]","[-0.003681704003688502, -0.0073634080073770045]","[0.0026886219637827224, 0.005377243927565445]",,,"[0.006233089153617755, 0.01246617830723551]","[-0.015009445516962705, -0.03001889103392541]","[-0.0027855061660027047, -0.0055710123320054095]","[-0.01450884552690912, -0.02901769105381824]","[-0.020257504185850816, -0.04051500837170163]","[-0.0009931010070558521, -0.0019862020141117043]",
08 11 15 1 1 0.0000000,"[-0.007928600626769366, -0.008994374269065908]","[-0.004456806072174135, -0.0015502041369712671]","[0.0030761587726630957, 0.0007750736177607465]",,,"[0.005595233382560405, -0.0012757115421146992]","[-0.03769719166566787, -0.045375492297410336]","[0.0009688609893510058, 0.007508734310707422]","[-0.032990076114891576, -0.03696246117596491]","[-0.03613891700636973, -0.03176282564103783]","[-0.0034960061215749683, -0.005005810229038232]",
08 11 15 1 1 30.0000000,"[-0.011222767821577495, -0.006588334389616257]","[-0.009333459493260587, -0.009753306842172904]","[0.010689885742217076, 0.015227453939107958]",,,"[0.014597668690377485, 0.01800487061563416]","[-0.04309058612146144, -0.01078678891158713]","[0.006241140708794335, 0.010544559438886658]","[-0.04011128310029388, -0.014242413970804613]","[-0.04925099315626413, -0.026224152299788805]","[-0.004828211319976461, -0.0026644103968029853]",
08 11 15 1 2 0.0000000,"[-0.015808749668853483, -0.009171963694551977]","[-0.01832781479517598, -0.017988710603830782]","[0.02120214412464727, 0.02102451676486039]",,,"[0.006483379665069844, -0.016228578050615283]","[-0.04736975535027388, -0.008558338457624881]","[0.019143288442445172, 0.025804295467301674]","[-0.028064980592695576, 0.02409260501519661]","[-0.061184270416988706, -0.023866554521449146]","[0.0008477557365758059, 0.011351934113104534]",
08 11 15 1 2 30.0000000,"[-0.020814588348616603, -0.010011677359526239]","[-0.02262316300294165, -0.00859069641553134]","[0.03560603492700953, 0.028807781604724525]",,,"[-0.002381799861743694, -0.017730359053627076]","[-0.045440094410323706, 0.003859321879900346]","[0.025925391236501616, 0.013564205588112888]","[-0.030269162578227427, -0.0044083639710637]","[-0.08119145564066299, -0.04001437044734857]","[0.00020990944909371478, -0.0012756925749641823]",
08 11 15 1 3 0.0000000,"[-0.024262171336231653, -0.0068951659752301]","[-0.024205639745644714, -0.00316495348540613]","[0.031141148848933486, -0.008929772156152094]",,,"[-0.019433950532680377, -0.034104301341873366]","[-0.05990049783612261, -0.028920806851597813]","[0.026183761753855173, 0.0005167410347071133]","[-0.046626944854669894, -0.032715564552884935]","[-0.09748465477134216, -0.03258639826135834]","[-0.002155739884422303, -0.004731298667032036]",
08 11 15 1 3 30.0000000,"[-0.02744329431701642, -0.006362245961569535]","[-0.02931644263352995, -0.01022160577577047]","[0.04042616624108408, 0.018570034784301193]",,,"[-0.02212256301288784, -0.005377224960414928]","[-0.06736888901877158, -0.01493678236529794]","[0.038270435840236816, 0.024173348172763287]","[0.006394556501601034, 0.10604300271254186]","[-0.10809380683956737, -0.021218304136450428]","[0.002874319845896256, 0.010060119460637118]",
08 11 15 1 4 0.0000000,"[-0.033474516093142226, -0.012062443552251612]","[-0.03198083406318242, -0.005328782859304937]","[0.05046207413474035, 0.02007181578731254]",,,"[-0.036324614888483264, -0.028404103751190846]","[-0.08162744403422861, -0.02851711003091406]","[0.03775370428910474, -0.0010334631022641538]","[-0.0011384178268110112, -0.01506594865682409]","[-0.12861773309794877, -0.041047852516762795]","[0.00532072182055332, 0.004892803949314128]",
08 11 15 1 4 30.0000000,"[-0.032990085598466834, 0.0009688609893507838]","[-0.034935906550220164, -0.005910144974075493]","[0.051560129866343285, 0.002196111463205863]",,,"[-0.039126262099139275, -0.005603294421312022]","[-0.09054914566805383, -0.017843403267650437]","[0.047789602699186196, 0.020071796820162913]","[-0.02904192158794805, -0.05580700752227408]","[-0.16018680930169582, -0.0631381524074941]","[0.00645914913093959, 0.0022768546207725393]",
