epoch,G03,G06,G07,G08,G11,G13,G16,G19,G21,G23,G25,G27
08 11 15 1 0 0.0000000,"[-0.07355552713076274, 0.3494604641571639]","[0.072320932460328, 0.08201250595351084]","[-0.8160059879223506, 0.4840821738665302]",,,"[-2.988917821459472, -2.6560394780089456]","[-1.4949680286459626, -0.4194213513284921]","[0.25377366387595734, -0.45859644493709006]","[-6.179765881411731, -4.9042616041377185]","[1.5644937763611475, 1.6024175128589073]","[-0.36619109551732754, -0.11343758068978804]",
08 11 15 1 0 30.0000000,"[0.22413522203763325, 0.24580329302698356]","[-0.4500865098709861, -0.2588411702464022]","[-0.24762515525023143, -0.10648084028313565]",,,"[-1.7625407664105293, -2.659213961785038]","[-1.7583390939049424, -0.732688358798623]","[-0.11884614384422698, -0.0033104487384358894]","[-8.078374059312045, -7.135569065995514]","[1.6111036250988642, 2.1330699166903893]","[-0.28034265975778316, -0.6079792555421593]",
08 11 15 1 1 0.0000000,"[0.15960478236277897, 0.5755062812939284]","[-0.00022455869863424738, -0.18828368025521414]","[0.654053317507108, -0.30865012450764584]",,,"[-1.2734358845278617, -2.51635964376231]","[-1.2859499174170197, -1.2812112782150507]","[-0.5816318423176805, -0.35462135753283897]","[-6.524150447361171, -5.215605154819786]","[1.6779191354910532, 2.0576469889531532]","[-0.5418651763660214, -0.9994849290698768]",
08 11 15 1 1 30.0000000,"[0.015444727738698316, 0.27105223778635246]","[-0.2577021849031249, -0.3266769333432116]","[0.47665146191914876, -1.0920612101132672]",,,"[-0.5645258067175742, -2.4769132600476342]","[-1.1783953475765885, -1.6367753211408853]","[-0.402890119018654, 0.06419139423718057]","[-4.967537195794284, -8.463789224810899]","[1.3878394524256388, 1.273416697109739]","[-0.27077417712037777, -1.1079172667115929]",
08 11 15 1 2 0.0000000,"[0.187540436287721, 0.1313465053215621]","[-0.3017683234686652, -0.19327619510392324]","[-0.37799328366915386, -1.3585765991980832]",,,"[-0.536161044053733, -2.393735931937893]","[-1.5157321262173356, -1.7307930056005716]","[-0.024803403081993247, -0.203653744670252]","[-7.795087025873363, -6.2556070985272525]","[1.3408428738514582, 0.8137325337777536]","[-0.10773097615068172, -1.17264445386827]",
08 11 15 1 2 30.0000000,"[0.20516269107659657, -0.22799760457128304]","[-0.5042196419710914, -0.01441478567818777]","[-0.7813939432303111, -1.37131917818139]",,,"[-0.9969631223008033, -3.1780203746010858]","[-1.6190060543827713, -1.3313089225441217]","[0.17815301263084016, 0.26396679201473794]","[-8.611721591465175, -5.554107487387955]","[1.704415754477183, 1.386446281398336]","[-0.3719733570081494, -0.678137379512191]",
08 11 15 1 3 0.0000000,"[-0.28087761799494426, 0.07560781780630332]","[-0.3692419808978835, -0.36205875712136404]","[-1.3752626756827038, -0.9809417907769482]",,,"[-1.5040873227640983, -3.2948429302622873]","[-1.5898175927810372, -0.9578007224947214]","[-0.3348059312130014, 0.17710933902611337]","[-8.557381929270923, -8.014193430729211]","[1.176787273089091, 1.6864175936828056]","[-0.5089805189830563, -0.01807381473481673]",
08 11 15 1 3 30.0000000,"[-0.24190548608700435, 0.1843303555622695]","[-0.4258540776247779, -0.10667845445374624]","[-0.3808759431044261, 0.11409224228312564]",,,"[-2.389053413085639, -3.448865132158001]","[-1.2763267177157105, -1.0602435681968927]","[-0.27398932284365096, -0.159326232286791]","[-4.158722923509776, -5.435706794448197]","[1.1516700247923533, 1.6251329174886147]","[-0.5681584541064999, -0.44727586470544356]",
08 11 15 1 4 0.0000000,"[0.1927136202653249, 0.3615803087130187]","[-0.16191127716253195, 0.3502177463223539]","[-0.2340035269657771, 0.8059068884079654]",,,"[-2.8917923955246803, -3.156182886784275]","[-1.0966656821779908, -0.5961835000663995]","[0.09331728213777146, -0.1522226252282659]","[-6.906484739296138, -5.904427662678063]","[1.3042746792236963, 1.7456754735360542]","[-0.3691859755975506, -0.6833424147218468]",
08 11 15 1 4 30.0000000,"[0.3578320836027463, 0.536889057792723]","[0.05895986588050928, 0.6489280776431166]","[-0.36379539767901103, 1.0165463651840885]",,,"[-2.4364860592409965, -3.8779770748068887]","[-1.3212303983978928, -0.6642527941614389]","[0.024153527555366372, -0.31044409355769553]","[-7.127686621062457, -3.5265904368832706]","[1.5901312987009684, 1.8441312900433937]","[0.058842518522093545, -0.6728667046874763]",
08 11 15 1 5 0.0000000,"[0.2571086381872495, 0.18151448313146812]","[-0.15014217613885794, 0.2846928553034864]","[0.10800740321477253, 0.6709535981838901]",,,"[-2.0577723918482658, -3.468941481535633]","[-1.0400375145487488, -1.0891331497579813]","[-0.8613255575920145, -0.357060230585436]","[-6.794537769071757, -6.703449800796807]","[1.8921440998713175, 1.917004897321264]","[0.15713892240698124, -0.5839975204318764]",
08 11 15 1 5 30.0000000,"[0.29708821525176365, 0.7018959039822219]","[0.00860103399803247, -0.11161689298848287]","[0.4701077063878377, -0.16412435813496518]",,,"[-2.070491322688758, -3.226573170845707]","[-0.72369643477723, -0.8999785397201776]","[-0.18509836054096618, -0.1821717836583654]","[-7.270504326932132, -6.153915107436478]","[1.5411540428797403, 1.8273814758906761]","[-0.13062932233636593, 0.14940330125391466]",
08 11 15 1 6 0.0000000,"[-0.3013034592072169, 0.18287625554949027]","[-0.07281807630012427, -0.5053807629893221]","[-0.07321181694666545, -0.6401498798901837]",,,"[-1.744510629586875, -3.40946361583968]","[-1.2455387654714287, -0.8628500018268823]","[-0.1285254985714952, -0.03264687142024436]","[-6.122532696835696, -7.453780383057892]","[1.4859042624632517, 1.3187946221480766]","[-0.4490056995612881, 0.32751090563833696]",
08 11 15 1 6 30.0000000,"[-0.30296244273583095, 0.18948368374258262]","[-0.24041768728444968, -0.5592645539591707]","[-0.3994472752014796, -0.6414748017365735]",,,"[-1.5149881778284904, -3.6116331682850915]","[-1.2567899542860688, -0.5417370412498712]","[0.0378296866392096, 0.3515677831446131]","[-6.025572986714542, -6.323167339153588]","[1.8496318022410074, 1.6057398161540428]","[-0.6137184266311428, 0.4989040914922951]",
08 11 15 1 7 0.0000000,"[-0.254522172609965, 0.10620209220796806]","[0.13556103588392343, -0.5409042968104281]","[-0.28683557907740276, -0.18974198742459225]",,,"[-1.770522215776145, -2.864483015363415]","[-1.4840155410580338, -0.8467548552900552]","[-0.10958236015091338, 0.14552299001564584]","[-6.362245560996234, -6.125804960913956]","[1.289054528872172, 2.1688987156997124]","[-0.019672772691895712, 0.2336401764303444]",
08 11 15 1 7 30.0000000,"[-0.5191722119847934, 0.20344835165888053]","[-0.05182112573335562, -0.10160648661355154]","[-1.1055419276158016, -0.6802482192094128]",,,"[-1.847783872298896, -1.907229931776722]","[-1.4525474178604783, -0.9853358779102563]","[-0.07967604255924621, -0.3257828720534841]","[-4.839968593232333, -5.4316497894003986]","[1.8421386490265528, 2.6910059890399376]","[-0.30282734970872616, 0.0892160061746834]",
08 11 15 1 8 0.0000000,"[-0.7145303467909495, -0.2454150205478074]","[0.1505261156087121, -0.19308067696789877]","[-0.2368101606766383, -0.11687904937813687]",,,"[-2.259573632292449, -2.0701839343955117]","[-1.547202745359391, -0.3169029865413904]","[0.08311044865598283, -0.5864918150628606]","[-5.101965905539691, -4.598945602960884]","[2.33285203675429, 2.788286774481336]","[-0.11624314527337765, -0.2995251890271904]",
08 11 15 1 8 30.0000000,"[-0.5408162007729213, -0.5168128347024323]","[-0.38740885077665244, -0.30903372007111685]","[-0.004889903465906786, -0.21115607364724087]",,,"[-2.973182985000312, -2.9208034442116815]","[-1.1511183696798981, -0.37194702662527557]","[-0.23678624189148345, -0.5871227600301305]","[-5.202662603370845, -5.838439896889031]","[1.2890115986267725, 2.2872202834735313]","[-0.1612566624147198, -0.26488027237355727]",
